group,ticker,name,mktcap_b,price,fwd_pe,psr,opm,rev_g,adv_m,beta,exch,note
DRAM/NAND/스토리지,MU,"Micron Technology, I",1053.689905152,932.97,6.0181813,11.672131,0.80370003,3.457,44406.35104314,2.213,NasdaqGS,
DRAM/NAND/스토리지,WDC,Western Digital Corp,162.513829888,450.75,14.197061,12.579443,0.43608,0.438,3892.0216095,2.217,NasdaqGS,
DRAM/NAND/스토리지,STX,Seagate Technology H,186.226999296,821.67,14.839249,15.294718,0.4307,0.485,3950.43817272,2.102,NasdaqGS,
DRAM/NAND/스토리지,SNDK,Sandisk Corporation,216.812879872,1480.77,5.5936875,10.707866,0.78472,3.716,20563.1420283,,NasdaqGS,
DRAM/NAND/스토리지,NTAP,"NetApp, Inc.",36.780187648,187.43,18.692528,5.3027105,0.27259,0.125,600.0998790400001,1.433,NasdaqGS,
DRAM/NAND/스토리지,PSTG,,,,,,,,,,,데이터없음
반도체 소부장,AMAT,"Applied Materials, I",380.958507008,480.04,26.097826,12.353942,0.33736,0.248,4622.029137,1.618,NasdaqGS,
반도체 소부장,LRCX,Lam Research Corpora,393.740648448,314.66,27.22646,16.947699,0.37390998,0.3,3656.8048276800005,1.865,NasdaqGS,
반도체 소부장,KLAC,KLA Corporation,239.542288384,183.34,27.467325,17.640024,0.42486,0.152,2360.5886698000004,1.458,NasdaqGS,
반도체 소부장,ASML,ASML Holding N.V. - ,669.931864064,1744.16,28.919647,18.963467,0.37057,0.213,3257.2815897600003,1.365,NasdaqGS,
반도체 소부장,ENTG,"Entegris, Inc.",21.219336192,138.87,27.687283,6.358769,0.19271,0.115,430.29466641000005,1.35,NasdaqGS,
반도체 소부장,TER,"Teradyne, Inc.",57.287942144,366.43,31.446552,12.833231,0.33161,1.039,1511.55489655,1.793,NasdaqGS,
반도체 소부장,ONTO,Onto Innovation Inc.,17.824815104,291.62,25.021471,15.913068,0.2297,0.353,371.20630582,1.587,NYSE,
반도체 소부장,MKSI,MKS Inc.,18.289199104,270.48,15.363032,4.2073154,0.20593001,0.283,379.5875748,1.999,NasdaqGS,
반도체 소부장,ACLS,Axcelis Technologies,3.872538624,125.4,23.8041,4.4713817,0.09425,0.106,65.62257240000001,1.88,NasdaqGS,
클라우드(대형),MSFT,Microsoft Corporatio,3651.21503232,491.71,20.858786,11.002971,0.45111,0.177,19441.999506149998,1.099,NasdaqGS,
클라우드(대형),AMZN,"Amazon.com, Inc.",2815.87482624,261.06,25.12485,3.6302016,0.13689,0.196,13030.24261662,1.454,NasdaqGS,
클라우드(대형),GOOGL,Alphabet Inc.,4243.298189312,346.96,23.425816,9.516981,0.34033,0.242,11119.45006424,1.237,NasdaqGS,
클라우드(대형),ORCL,Oracle Corporation,416.976961536,144.76,13.262555,6.1905513,0.36202,0.206,4718.904140719999,1.718,NYSE,
네오클라우드,CRWV,"CoreWeave, Inc.",48.55728128,88.04,-45.181156,6.397534,-0.01903,1.125,2623.32110092,,NasdaqGS,
네오클라우드,NBIS,Nebius Group N.V.,60.3437056,221.97,-74.05171,41.58939,-0.00223,4.54,4844.63020776,1.434,NasdaqGS,
네오클라우드,IREN,IREN LIMITED,15.0849536,42.21,-42.06991,19.925337,-0.64468,-0.0,1931.64124545,4.302,NasdaqGS,
네오클라우드,APLD,Applied Digital Corp,8.202164736,28.85,-115.4,13.4173355,-0.48219,4.066,565.7840720500001,5.767,NasdaqGS,
네오클라우드,CIFR,Cipher Digital Inc.,6.769150976,16.31,70.91304,35.423336,-3.01691,-0.43,480.03225024999995,3.223,NasdaqGS,
네오클라우드,WULF,TeraWulf Inc.,8.143168512,16.32,-68.0,49.29488,-3.0703602,-0.06,537.99632352,4.288,NasdaqCM,
AI 인프라,NVDA,NVIDIA Corporation,5160.284192768,213.05,16.336937,20.356873,0.65596,0.852,29688.190894350002,2.215,NasdaqGS,
AI 인프라,AVGO,Broadcom Inc.,1697.219084288,356.74,18.302778,22.490149,0.48988,0.479,9369.6851313,1.473,NasdaqGS,
AI 인프라,MRVL,"Marvell Technology, ",216.030625792,240.38,38.30342,24.782396,0.14479999,0.276,9880.66629718,2.246,NasdaqGS,
AI 인프라,ANET,"Arista Networks, Inc",240.818241536,190.94,37.00703,22.846296,0.45393002,0.377,1542.08337568,1.615,NYSE,
AI 인프라,VRT,"Vertiv Holdings, LLC",98.460721152,255.75,28.108133,8.577017,0.20362,0.241,1564.99946625,2.077,NYSE,
AI 인프라,COHR,Coherent Corp.,56.427106304,288.14,20.656767,7.927181,0.118269995,0.337,1795.3830515999998,2.107,NYSE,
UW/중립 대상,TSLA,"Tesla, Inc.",1383.329038336,350.25,162.25945,13.350148,0.014099999,0.255,14695.60912125,1.827,NasdaqGS,
UW/중립 대상,SPCX,Space Exploration Te,1818.426474496,137.95,86.13907,78.86561,-0.01804,0.919,16309.1820663,,NasdaqGS,
