ticker,weight,group,bm,active,name,price,mktcap,fwd_pe,psr,pbr,opm,gpm,roe,rev_g,growth_2y,target_upside,n_analysts,beta_i,div_yield,total_debt,total_cash,ebitda,fcf,short_pct,adv_usd,sector,net_debt,nd_ebitda,vol_3y,beta_spy,corr_spy
MU,9.0,DRAM·NAND,1.3885027687981897,7.6114972312018105,"Micron Technology, Inc.",932.97,1053689905152,6.0181813,11.672131,10.457546,0.80370003,0.72569,0.66638,3.457,3.324380904252809,0.6560018007009871,39.0,2.213,0.06,6376000000,26022000640,68222001152,7639499776.0,0.026600001,44406351043.14,Technology,-19646000640,-0.287971626575836,0.6403447432327098,2.340313016807253,0.5609525834073197
SNDK,5.5,DRAM·NAND,0.295220970648084,5.204779029351916,Sandisk Corporation,1480.77,216812879872,5.5936875,10.707866,14.020983,0.78472,0.71474,0.9164,3.716,0.9325594001775073,0.4181810814643734,19.0,,,201000000,4761999872,12616999936,7720875008.0,0.082399994,20563142028.3,Technology,-4560999872,-0.36149638544311397,1.0717654142184312,2.7873736666707667,0.46031118352206774
WDC,4.0,스토리지,0.2119718081730326,3.7880281918269674,Western Digital Corporat,450.75,162513829888,14.197061,12.579443,21.551517,0.43608,0.48851,1.30853,0.438,0.7625571287461672,0.4198557958957294,20.0,2.217,0.14,1191000064,1579000064,5001999872,2268750080.0,0.0631,3892021609.5,Technology,-388000000,-0.07756897439600734,0.57971764496445,1.9640773099281479,0.520005709550496
STX,4.0,스토리지,0.2432070421860355,3.7567929578139645,Seagate Technology Holdi,821.67,186226999296,14.839249,15.294718,168.375,0.4307,0.45576,3.7152898,0.485,0.8852069209474567,0.39958864264242333,19.0,2.102,0.37,3897999872,1704000000,4502000128,1943750016.0,0.041199997,3950438172.72,Technology,2193999872,0.4873389181742822,0.5267474469848967,1.5636659697661643,0.4556250551412334
NTAP,2.0,스토리지,0.049516080346188,1.950483919653812,"NetApp, Inc.",187.43,36780187648,18.661821,5.3027105,27.191353,0.27259,0.70744,1.06734,0.125,0.11055541659717871,-0.026303153177186234,18.0,1.433,1.11,2732999936,3584000000,1884000000,1295250048.0,0.0547,600099879.0400001,Technology,-851000064,-0.4516985477707006,0.3757789357286784,1.2294797051478485,0.5021748807666433
AMAT,5.0,소부장,0.5191216868398013,4.480878313160199,"Applied Materials, Inc.",480.04,380958507008,26.097826,12.353942,14.866062,0.33736,0.49398,0.41068,0.248,0.39536805789194496,0.35405382884759606,34.0,1.618,0.44,7345999872,9233000448,10154999808,3075375104.0,0.018,4622029137.0,Technology,-1887000576,-0.18581985343943003,0.48688268085236774,1.9712877357444303,0.6214293292932003
LRCX,5.0,소부장,0.5241113541243718,4.475888645875628,Lam Research Corporation,314.66,393740648448,27.22646,16.947699,31.570183,0.37390998,0.50469,0.65066004,0.3,0.409170992675459,0.17587237017733415,26.0,1.865,0.34,4121564928,5579170816,8641328128,3090484480.0,0.0254,3656804827.6800003,Technology,-1457605888,-0.16867845618279478,0.5123896310084132,2.2131530671126995,0.6629445004577441
KLAC,4.0,소부장,0.3203495559973014,3.6796504440026987,KLA Corporation,183.34,239542288384,27.467325,17.640024,37.73981,0.42486,0.61301,0.87496,0.152,0.3252699444007303,0.2544998363695865,23.0,1.458,0.51,6151712768,4902408192,6054757888,2624587520.0,0.0216,2360588669.8,Technology,1249304576,0.2063343570642209,0.48552611490719355,2.033563987522057,0.6428524465418707
ASML,4.0,소부장,0.0,4.0,ASML Holding N.V. - New ,1744.16,669931864064,28.919647,18.963467,1459.081,0.37057,0.52733004,0.53942,0.213,0.4463185378155168,0.3445339303733601,33.0,1.365,0.52,1984400000,7581499904,13488400384,8437675008.0,0.0034999999,3257281589.76,Technology,-5597099904,-0.4149565363317139,0.4316315632295847,1.7607944954592032,0.6261256991737129
ENTG,2.0,소부장,0.0,2.0,"Entegris, Inc.",138.87,21219336192,27.687283,6.358769,5.2232294,0.19271,0.45555001,0.07671,0.115,0.35050966810177386,0.2241664866421833,12.0,1.35,0.29,3560000000,353600000,914700032,477787488.0,0.066700004,430294666.41,Technology,3206400000,3.5054114877302203,0.5591503128562842,2.454496840121198,0.673751830344651
MSFT,10.0,클라우드(대형),4.886396840405087,5.113603159594913,Microsoft Corporation,491.71,3651215032320,20.858786,11.002971,8.255015,0.45111,0.67944,0.34039003,0.177,0.1679873477244711,0.11854548412682275,33.0,1.099,0.75,128812998656,76842999808,194237005824,16545500160.0,0.0092,19441999506.149998,Technology,51969998848,0.26755971977394727,0.26175651262210337,0.9679520467010225,0.5675738782100302
AMZN,8.0,클라우드(대형),3.8172041928663134,4.182795807133687,"Amazon.com, Inc.",261.06,2815874826240,25.12485,3.6302016,5.103214,0.13689,0.5077,0.30558002,0.196,0.2091042363639728,0.2449245384202865,53.0,1.454,,251635007488,122988003328,168911994880,3219124992.0,0.0097,13030242616.62,Consumer Cyclical,128647004160,0.7616214837282254,0.3230311229608904,1.3991818137108036,0.66480738842882
ORCL,5.0,클라우드(대형),0.5540908635376816,4.445909136462318,Oracle Corporation,144.76,416976961536,13.262555,6.1905513,11.101227,0.36202,0.65822,0.53376,0.206,0.19604744423445175,0.657916551533573,40.0,1.718,1.4,167431995392,31893999616,30493999104,-24536750080.0,0.0278,4718904140.719999,Technology,135537995776,4.444743220256114,0.5063346447488062,1.543940035367491,0.46801399271620686
GOOGL,3.0,클라우드(대형),5.748218839488568,-2.748218839488568,Alphabet Inc.,346.96,4243298189312,23.425816,9.516981,6.8170385,0.34033,0.60897,0.48676,0.242,0.17155975793810074,0.23645376988701883,55.0,1.237,0.25,120790999040,242473992192,173164003328,22665000960.0,0.0124,11119450064.24,Communication Services,-121682993152,-0.7027037421946938,0.3058695510150421,1.155306857010174,0.5797318466679519
CRWV,4.0,네오클라우드,0.0,4.0,"CoreWeave, Inc.",88.04,48557281280,-45.181156,6.397534,9.655626,-0.01903,0.67418,-0.43596,1.125,,0.703771013175829,19.0,,,51612999680,5538999808,3788999936,-9088615424.0,0.1889,2623321100.92,Technology,46073999872,12.159936830360506,1.1392236070420214,2.570069197535886,0.39555714907880757
NBIS,4.0,네오클라우드,0.0,4.0,Nebius Group N.V.,221.97,60343705600,-74.05171,41.58939,5.8843646,-0.00223,0.7426,0.00601,4.54,,0.29522007478488077,7.0,1.434,,10195300352,8042100224,258000000,-9614650368.0,0.2344,4844630207.76,Communication Services,2153200128,8.345736930232558,1.157286316745231,2.806358866761356,0.4120817822237865
IREN,3.0,네오클라우드,0.0,3.0,IREN LIMITED,42.21,15084953600,-42.06991,19.925337,5.4018426,-0.64468,0.68397003,0.07729,-0.0,,0.9071310116086235,10.0,4.302,,3964912896,2213274112,147176000,-2311044352.0,0.2724,1931641245.45,Financial Services,1751638784,11.901660488123063,1.1222920679094401,3.0042469632588027,0.41086182445902064
NVDA,10.0,AI 인프라,6.818855425401011,3.1811445745989886,NVIDIA Corporation,213.05,5160284192768,16.336937,20.356873,26.40025,0.65596,0.74144995,1.14288,0.852,0.6534697651154506,0.40812015958695125,51.0,2.215,0.48,12814000128,53171998720,165514002432,46335873024.0,0.0123000005,29688190894.350002,Technology,-40357998592,-0.2438343463332097,0.46657889440463063,2.0420755145922054,0.6717578670257428
AVGO,6.0,AI 인프라,2.304863353915394,3.695136646084606,Broadcom Inc.,356.74,1697219084288,18.302778,22.490149,19.356483,0.48988,0.76284,0.37280998,0.479,0.6911070659495213,0.47866793743342484,47.0,1.473,0.72,64907001856,19627999232,42083999744,27212249088.0,0.012,9369685131.300001,Technology,45279002624,1.0759196582890276,0.5005424704087592,2.0146370853211324,0.6177630725843243
SPCX,2.5,우주·중립,0.0,2.5,Space Exploration Techno,137.95,1818426474496,86.13907,78.86561,14.286453,-0.01804,0.51875,,0.919,,0.6310257339615803,16.0,,,39708000256,100009000960,5896999936,,0.0293,16309182066.3,Industrials,-60301000704,-10.225708217474194,,,
