ticker,price,mktcap_b,fwd_pe,trail_pe,psr,pbr,ev_ebitda,peg,rev_growth,eps_growth,gross_margin,op_margin,fcf_b,roe,debt_to_equity,beta,div_yield
MSFT,484.94,3600.944201728,20.571596,27.046291,10.85148,8.141358,18.741,1.57,0.177,0.317,0.67944,0.45111,16.54550016,0.34039003,29.118,1.099,0.75
NVDA,210.025,5086.652137472,16.120798,32.160793,20.067835,26.023544,31.151,0.59,0.852,2.145,0.74144995,0.65596,46.335873024,1.14288,6.555,2.215,0.47
AMZN,262.015,2826.176036864,25.216763,21.062302,3.6434817,5.1218824,17.277,1.38,0.196,2.423,0.5077,0.13689,3.219124992,0.30558002,45.617,1.454,
AAPL,311.39,4544.627474432,32.646606,35.711006,9.734914,42.30978,27.01,2.49,0.164,0.287,0.48653,0.32623002,107.721875456,1.4875101,78.445,1.086,0.35
AVGO,362.29,1723.623800832,18.57504,60.281197,22.840042,19.657623,42.729,0.41,0.479,0.854,0.76284,0.48988,27.212249088,0.37280998,74.018,1.473,0.71
MU,901.2,1018.44156416,5.8168592,20.36495,11.274666,10.1077175,15.717,0.14,3.457,13.685,0.72569,0.80370003,7.639499776,0.66638,6.33,2.213,0.05
MRVL,224.06,201.103802368,35.873016,76.73287,23.070034,10.770043,76.99,1.4,0.276,-0.804,0.51502997,0.14479999,2.269700096,0.16028,28.97,2.246,0.1
META,551.305,1404.452864,15.885609,20.756966,6.153215,5.3775363,12.976,0.82,0.28,-0.134,0.81747,0.34827,21.553625088,0.29848,42.997,1.243,0.38
COHR,265.14,51.89163008,18.996426,64.47202,7.294415,4.7572713,41.165,0.92,0.337,,0.37495998,0.118269995,-0.649981632,0.07981,31.612,2.107,
COST,957.22,424.506785792,42.243217,48.101505,1.4459319,25.67788,30.357,4.6,0.215,0.455,0.12876001,0.036730003,6.954375168,0.29152,60.257,0.86,0.62
NFLX,79.71,331.907629056,20.861523,25.066036,6.86174,11.008147,23.015,1.78,0.134,0.111,0.49118,0.33381,25.387552768,0.49541,55.236,1.514,
CEG,270.02,95.670075392,20.310425,26.394917,3.0594842,3.0002553,15.22,3.74,0.23,-0.468,0.22107,0.086619996,-6.625124864,0.15055001,76.419,1.118,0.63
TSM,407.49,2113.436254208,18.708277,30.387024,0.47594637,83.87917,4.728,1.0,0.36,0.774,0.6423,0.60344005,730.82601472,0.39969003,16.504,1.258,1.04
VRT,252.695,97.188339712,27.744898,56.985332,8.474563,20.426006,37.732,1.23,0.241,0.53,0.38039002,0.20362,2.6965376,0.43943,70.166,2.077,0.1
PANW,350.9125,285.99369728,85.23811,305.14133,26.964003,10.311251,195.944,3.97,0.311,,0.71963996,-0.02465,3.579375104,0.048309997,7.698,0.893,
GOOGL,347.37,4248.312479744,23.453497,17.429502,9.528228,6.825094,23.755,0.93,0.242,2.94,0.60897,0.34033,22.66500096,0.48676,18.859,1.237,0.26
BKNG,213.54,160.449789952,17.253819,23.75306,5.8591247,-15.010544,15.482,0.92,0.081,1.3,0.87227994,0.34412,7.7258752,,,1.068,0.8
LITE,799.855,71.746994176,24.228361,,23.804575,15.26033,95.762,0.63,1.093,,0.44244,0.27954,0.2247,-2.40027,35.987,1.513,
FTNT,151.215,110.948507648,40.22146,53.62234,14.739287,71.53027,42.039,2.11,0.256,0.439,0.80204004,0.33595002,2.265587456,1.17442,36.194,1.058,
ISRG,378.45,135.590330368,31.352442,43.450058,12.287966,7.3717327,30.793,1.86,0.185,0.265,0.66679,0.33603,2.6152,0.17423001,,1.46,
CRWD,190.3725,193.848557568,121.45441,,38.0528,41.830914,3232.773,6.24,0.256,,0.75136,-0.022079999,1.926365056,-0.0024899999,17.568,1.234,
ANET,187.4825,236.457558016,36.336914,59.142742,22.4326,15.979076,48.406,1.78,0.377,0.357,0.63004,0.45393002,3.891512576,0.31476,,1.615,
GOOG,344.0,4207.892758528,23.230352,17.272339,9.43579,6.760158,23.538,0.93,0.242,2.94,0.60897,0.34033,22.66500096,0.48676,18.859,1.237,0.26
LRCX,302.5,378.111787008,26.14575,52.551323,16.292757,30.317057,45.301,1.46,0.3,0.348,0.50469,0.37390998,3.09048448,0.65066004,33.049,1.865,0.33
TMUS,183.665,197.012226048,12.7204685,19.231936,2.137047,3.508539,9.134,0.84,0.079,0.053,0.63054,0.2522,11.335999488,0.17994,214.035,0.327,2.23
AMAT,477.825,379.373682688,26.05196,41.29862,12.302548,14.797467,38.288,0.99,0.248,0.428,0.49398,0.33736,3.075375104,0.41068,28.666,1.618,0.43
KLAC,179.15,234.002546688,27.120586,48.934425,17.236883,36.867027,39.909,1.76,0.152,0.138,0.61301,0.42486,2.62458752,0.87496,96.88,1.458,0.5
ADI,365.1901,177.87936768,22.353859,43.320293,12.813906,5.288012,27.103,0.56,0.396,1.635,0.65800005,0.39503,4.147339008,0.12227,27.314,1.212,1.18
TXN,258.68,236.238897152,24.608091,39.31307,12.144086,13.115652,26.101,1.17,0.228,0.518,0.58325,0.42576998,3.545250048,0.35176,78.036,1.325,2.15
PLTR,173.59,417.146896384,75.00951,148.36752,67.763306,42.672077,158.985,2.41,0.928,2.154,0.84796,0.47120997,2.159104512,0.38097,2.139,1.563,
INTU,368.895,100.906426368,13.517361,22.493597,4.8222904,4.9045405,15.68,0.95,0.104,0.107,0.80793,0.46974,5.232,0.22496,33.448,0.959,1.31
TSLA,352.91,1393.65318656,163.47043,323.72845,13.451537,16.04292,130.762,5.32,0.255,-0.03,0.18852,0.014099999,4.835999744,0.046669997,18.373,1.827,
MELI,1947.99,98.756861952,34.342525,53.049835,2.8070283,12.606147,26.963,1.37,0.498,-0.109,0.47749,0.06716,0.353375008,0.27504,168.586,1.312,
LLY,1246.03,1111.136534528,26.379967,41.88336,13.941424,32.78854,27.932,1.58,0.477,0.262,0.83399004,0.54222,11.065900032,1.02286,162.071,0.506,0.55
INTC,85.685,452.860608512,41.992424,,7.9418554,4.935192,29.14,1.36,0.254,,0.38873002,0.12189999,4.866375168,-0.10715,48.997,2.241,
ALAB,268.47,46.575546368,41.99122,132.90594,38.750988,26.99005,168.992,,1.045,1.862,0.75128996,0.22744,0.091913128,0.25826,2.574,3.843,
APP,299.5999,100.539981824,14.253608,23.021538,14.681425,31.723553,18.982,0.86,0.528,0.57,0.88464,0.77678,3.179956224,2.03686,111.13,2.529,
CRWV,84.14,46.40628736,-45.082645,,6.1141353,9.2279005,24.948,,1.125,,0.67418,-0.01903,-9.088615424,-0.43596,1027.329,,
NBIS,204.6657,55.599833088,-68.230194,,38.347168,5.42177,241.153,0.63,4.54,,0.7426,-0.00223,-9.614650368,0.00601,98.596,1.434,
CIEN,366.84,51.927277568,37.93898,121.87376,9.324094,17.959463,71.783,0.68,0.395,23.833,0.43047002,0.15195,0.700927872,0.15464,54.649,1.315,
PEP,145.32,198.507134976,16.18544,19.045872,2.0484927,8.983125,12.631,1.55,0.064,1.37,0.54171,0.16836001,7.831875072,0.51508,238.949,0.361,4.13
