ticker,mp,bm,active,premium,sector,rev_cagr,rev_now_b,opm_then,opm_now,eps_cagr,px_cagr,mult_cagr
AAPL,4.6,7.1,-2.5,-0.1454514618191262,HW,0.01812535743479393,416.161,0.30288744395528594,0.31970799762591884,0.06880679389561806,0.3179867519705386,0.2331384488740964
MRVL,3.3,0.9,2.4,-0.3150615431057612,반도체,0.11449587642355707,8.1946,0.06074734779376985,0.16332706904546898,,,
COST,2.5,2.2,0.2999999999999998,-0.0923821697159678,필수소비,0.06640442726947482,275.235,0.03433735470624003,0.03772412665540356,0.11490584815226379,0.24946420378235556,0.1206903308051488
GOOGL,1.5,3.2,-1.7000000000000002,-0.1035506923629434,커뮤,0.12511745609215974,402.836,0.2646127084246701,0.32032638592380025,0.3333790189024399,0.5847373998779952,0.18851232651197614
CRWD,1.0,0.7,0.30000000000000004,-0.4733650996394783,SW,0.2900686653697968,4.812005,-0.08482462355593075,-0.06095006135696035,,,
ANET,1.0,0.0,1.0,-0.1618791575450184,HW,0.27146525721597636,9.0057,0.3485500911827741,0.42818437211987964,0.37084474021641967,0.8372777187023279,0.3402522290104648
GOOG,1.0,2.3,-1.2999999999999998,-0.089280005993957,커뮤,0.12511745609215974,402.836,0.2646127084246701,0.32032638592380025,0.3333790189024399,0.5764546207285846,0.18230045499458236
LRCX,0.9,1.0,-0.09999999999999998,-0.2366432797050162,반도체,0.10055823901653271,23.23269,0.29933759133594623,0.35294212594408997,0.20148366120497108,0.7049790175570041,0.4190613427460812
AMAT,0.8,1.0,-0.19999999999999996,-0.3201178069298804,반도체,0.032334704568867556,28.368,0.3018809385301532,0.2985758601240835,0.051917432034909394,0.7829481142876245,0.6949506301445671
KLAC,0.8,0.8,0.0,-0.0957452586722334,반도체,0.08964649002419045,13.579476,0.38059019502182534,0.4168629187164512,0.1486507049039818,0.566519400919189,0.3637909194075999
TXN,0.8,1.0,-0.19999999999999996,-0.0293728244219028,반도체,-0.040677564911326236,17.682,0.5191232274815258,0.34724578667571543,-0.1664423794170723,0.2039971123668194,0.4444077801422224
TSLA,0.8,2.8,-1.9999999999999998,-0.5,경기소비,0.051943257367141005,94.827,0.16979696054602145,0.05113522519957396,-0.3318021688674605,0.4149497138799041,1.1175610694241294
INTC,0.7,0.5,0.19999999999999996,-0.372755926905676,반도체,-0.05712887978236014,52.853,0.03704760998509214,-0.0004351692429947212,,,
NBIS,0.7,0.0,0.7,-0.2374045171380084,SW,2.39828184367049,0.5298,-11.703703703703704,-1.154586636466591,-0.3321388926760086,,
CSCO,0.6,1.0,-0.4,-0.1102688163916602,HW,0.03192384157728467,56.654,0.27105921601334443,0.22070815829420695,-0.025465691640183197,0.39520495897735874,0.43166325393463967
VRTX,0.5,0.6,-0.09999999999999998,-0.0052882504027204,헬스케어,0.10352183400647985,12.0013,0.4758753513162462,0.3794922216759851,0.06118290879552779,0.23774013380685988,0.16637775028974922
TLN,0.5,0.0,0.5,-0.5,유틸전력,0.13945922328242188,2.626,-0.2512676056338028,0.006092916984006093,,,
VIAV,0.5,0.0,0.5,-0.5,HW,-0.056842615389848694,1.0843,0.14306716186939028,0.05367518214516278,,,
FLEX,0.4,0.0,0.4,-0.1482815142398041,HW,-0.006924549110727707,27.914,0.03582204757560873,0.051837787490148314,0.10647725620936432,0.8321951123661229,0.6558814038735563
TTWO,0.4,0.25,0.15000000000000002,-0.2317436296360917,커뮤,0.07555159639473397,6.6564,-0.21506944055029065,-0.016315125292951146,,,
MNST,0.4,0.3,0.10000000000000003,-0.0761656569211864,필수소비,0.09536818669323455,8.294343,0.2511025899018388,0.29168723791625206,0.20275070696498165,-0.012264456033216575,-0.17876951703546862
AEP,0.4,0.3,0.10000000000000003,-0.0475682466042111,유틸전력,0.036603082441915236,21.876,0.19239288169250746,0.2461601755348327,0.14044924681547055,0.13780646294635446,-0.0023173182642679535
BE,0.4,0.0,0.4,-0.5,유틸전력,0.19064306780764095,2.023994,-0.2176520379443344,0.035969474217808946,,,
HON,0.4,0.8,-0.4,-0.4613522160904763,산업재,0.0182371617394117,37.442,0.18121581232729939,0.17539127183376957,0.004109635217657948,0.03106748287069694,0.02684751416332687
MAR,0.2,0.35,-0.14999999999999997,-0.135115019252644,경기소비,0.0802476100443279,26.186,0.16723631637221392,0.1580615596120064,0.09516775967882674,0.35865826736606854,0.2405937404188323
