ticker,mp_weight,bm_weight_approx,sector
MSFT,8.4,5.3,SW
NVDA,8.0,8.7,반도체
AMZN,7.5,4.9,경기소비
AAPL,4.6,7.1,HW
AVGO,4.3,4.5,반도체
MU,4.2,1.3,반도체
MRVL,3.3,0.9,반도체
META,2.6,3.5,커뮤
COHR,2.5,0,반도체
COST,2.5,2.2,필수소비
NFLX,2.2,2.5,커뮤
CEG,2.2,0.6,유틸전력
TSM,2.0,0,반도체
VRT,2.0,0,산업재
PANW,1.5,0.7,SW
GOOGL,1.5,3.2,커뮤
BKNG,1.3,1.2,경기소비
LITE,1.2,0.3,반도체
FTNT,1.1,0.3,SW
ISRG,1.1,1.0,헬스케어
CRWD,1.0,0.7,SW
ANET,1.0,0,HW
GOOG,1.0,2.3,커뮤
LRCX,0.9,1.0,반도체
TMUS,0.9,1.0,커뮤
AMAT,0.8,1.0,반도체
KLAC,0.8,0.8,반도체
ADI,0.8,0.8,반도체
TXN,0.8,1.0,반도체
PLTR,0.8,1.8,SW
INTU,0.8,1.1,SW
TSLA,0.8,2.8,경기소비
MELI,0.8,0.6,경기소비
LLY,0.8,0,헬스케어
INTC,0.7,0.5,반도체
ALAB,0.7,0,반도체
APP,0.7,1.0,SW
CRWV,0.7,0,SW
NBIS,0.7,0,SW
CIEN,0.7,0,HW
PEP,0.7,1.0,필수소비
LIN,0.7,1.0,산업재
AXON,0.7,0.5,산업재
CSCO,0.6,1.0,HW
AMGN,0.6,0.8,헬스케어
QCOM,0.5,0.8,반도체
CBRS,0.5,0,반도체
CYBR,0.5,0,SW
VIAV,0.5,0,HW
SITM,0.5,0,HW
STX,0.5,0,HW
FN,0.5,0,HW
ORLY,0.5,0.4,경기소비
VRTX,0.5,0.6,헬스케어
GILD,0.5,0.7,헬스케어
TLN,0.5,0,유틸전력
CTAS,0.5,0.5,산업재
ADP,0.5,0.7,산업재
NXPI,0.4,0.35,반도체
S,0.4,0,SW
SNPS,0.4,0.4,SW
CDNS,0.4,0.4,SW
FLEX,0.4,0,HW
TTWO,0.4,0.25,커뮤
MNST,0.4,0.3,필수소비
AEP,0.4,0.3,유틸전력
BE,0.4,0,유틸전력
HON,0.4,0.8,산업재
ARM,0.3,0.6,반도체
ONTO,0.3,0,반도체
ZS,0.3,0.25,SW
EXC,0.25,0.25,유틸전력
XEL,0.25,0.25,유틸전력
AMD,0.2,1.4,반도체
MCHP,0.2,0.25,반도체
ON,0.2,0.2,반도체
AXTI,0.2,0,반도체
ADBE,0.2,0.8,SW
DDOG,0.2,0.25,SW
SANM,0.2,0,HW
ROST,0.2,0.3,경기소비
MAR,0.2,0.35,경기소비
DASH,0.2,0.5,경기소비
AZN,0.2,0.4,헬스케어
WDAY,0.1,0.3,SW
ADSK,0.1,0.3,SW
ROP,0.1,0.35,SW
TEAM,0.1,0.2,SW
TTD,0.1,0.15,SW
MDB,0.1,0.1,SW
ABNB,0.1,0.3,경기소비
LULU,0.1,0.15,경기소비
PDD,0.1,0.6,경기소비
MDLZ,0.1,0.4,필수소비
KDP,0.1,0.25,필수소비
CCEP,0.1,0.2,필수소비
REGN,0.1,0.35,헬스케어
IDXX,0.1,0.25,헬스케어
DXCM,0.1,0.2,헬스케어
PCAR,0.1,0.3,산업재
CSX,0.1,0.35,산업재
ODFL,0.1,0.25,산업재
FAST,0.1,0.25,산업재
VRSK,0.1,0.2,산업재
PAYX,0.1,0.3,산업재
BKR,0.1,0.25,산업재
FANG,0.1,0.25,산업재
CPRT,0.1,0.3,산업재
CMCSA,0,0.6,제외
CHTR,0,0.25,제외
WBD,0,0.1,제외
KHC,0,0.15,제외
BIIB,0,0.15,제외
ILMN,0,0.1,제외
GEHC,0,0.2,제외
EA,0,0.25,제외
SBUX,0,0.5,제외
CSGP,0,0.15,제외
SMCI,0,0.2,제외
MSTR,0,0.4,제외
CTSH,0,0.2,제외
CDW,0,0.1,제외
GFS,0,0.1,제외
