,mp_weight,bm_weight,active,sector,block
MSFT,5.37,4.886,0.48,Information Technology,콜
NVDA,5.11,6.819,-1.71,Information Technology,콜
AMZN,4.79,3.817,0.97,Consumer Discretionary,콜
AAPL,2.94,6.116,-3.18,Information Technology,콜
BRK-B,2.85,1.458,1.39,Financials,복제
AVGO,2.75,2.305,0.44,Information Technology,콜
MU,2.68,1.389,1.29,Information Technology,콜
JPM,2.5,1.279,1.22,Financials,복제
MRVL,2.17,0.278,1.89,Information Technology,콜
V,1.88,0.964,0.92,Financials,복제
META,1.66,1.923,-0.26,Communication Services,콜
COHR,1.6,0.073,1.53,Information Technology,콜
COST,1.6,0.582,1.02,Consumer Staples,콜
WMT,1.56,1.144,0.42,Consumer Staples,복제
CAT,1.55,0.503,1.05,Industrials,복제
JNJ,1.54,0.889,0.65,Health Care,복제
XOM,1.51,0.911,0.6,Energy,복제
GE,1.47,0.479,0.99,Industrials,복제
CEG,1.41,0.131,1.28,Utilities,콜
NFLX,1.41,0.45,0.96,Communication Services,콜
MA,1.39,0.71,0.68,Financials,복제
VRT,1.28,0.133,1.15,Industrials,콜
TSM,1.28,0.0,1.28,BM외(S&P500 미편입),콜
RTX,1.17,0.381,0.79,Industrials,복제
BAC,1.15,0.589,0.56,Financials,복제
ABBV,1.1,0.631,0.47,Health Care,복제
GEV,1.04,0.339,0.7,Industrials,복제
PANW,0.96,0.386,0.57,Information Technology,콜
GOOGL,0.96,5.748,-4.79,Communication Services,콜
MS,0.89,0.454,0.44,Financials,복제
CVX,0.89,0.538,0.35,Energy,복제
MRK,0.87,0.502,0.37,Health Care,복제
UNH,0.84,0.483,0.36,Health Care,복제
LITE,0.83,0.101,0.73,Information Technology,콜
BKNG,0.83,0.216,0.61,Consumer Discretionary,콜
GS,0.8,0.407,0.39,Financials,복제
UNP,0.76,0.249,0.51,Industrials,복제
KO,0.73,0.534,0.2,Consumer Staples,복제
DE,0.73,0.236,0.49,Industrials,복제
NEE,0.7,0.237,0.46,Utilities,복제
ISRG,0.7,0.181,0.52,Health Care,콜
FTNT,0.7,0.151,0.55,Information Technology,콜
WELL,0.69,0.234,0.46,Real Estate,복제
WFC,0.68,0.346,0.33,Financials,복제
CRWD,0.64,0.262,0.38,Information Technology,콜
GOOG,0.64,5.691,-5.05,Communication Services,콜
ANET,0.64,0.32,0.32,Information Technology,콜
PG,0.63,0.46,0.17,Consumer Staples,복제
TMUS,0.58,0.265,0.31,Communication Services,콜
LRCX,0.58,0.524,0.06,Information Technology,콜
NEM,0.57,0.188,0.38,Materials,복제
PLD,0.55,0.188,0.36,Real Estate,복제
