,mp_weight,bm_weight,active,sector,block
MSFT,7.79,4.886,2.9,Information Technology,콜
NVDA,7.42,6.819,0.6,Information Technology,콜
AMZN,6.96,3.817,3.14,Consumer Discretionary,콜
AAPL,4.27,6.116,-1.85,Information Technology,콜
AVGO,3.99,2.305,1.68,Information Technology,콜
MU,3.9,1.389,2.51,Information Technology,콜
MRVL,3.15,0.278,2.87,Information Technology,콜
META,2.41,1.923,0.49,Communication Services,콜
COST,2.32,0.582,1.74,Consumer Staples,콜
COHR,2.32,0.073,2.25,Information Technology,콜
NFLX,2.04,0.45,1.59,Communication Services,콜
CEG,2.04,0.131,1.91,Utilities,콜
TSM,1.86,0.0,1.86,BM외(S&P500 미편입),콜
VRT,1.86,0.133,1.73,Industrials,콜
PANW,1.39,0.386,1.0,Information Technology,콜
GOOGL,1.39,5.748,-4.36,Communication Services,콜
BKNG,1.21,0.216,0.99,Consumer Discretionary,콜
LITE,1.21,0.101,1.11,Information Technology,콜
FTNT,1.02,0.151,0.87,Information Technology,콜
ISRG,1.02,0.181,0.84,Health Care,콜
GOOG,0.93,5.691,-4.76,Communication Services,콜
CRWD,0.93,0.262,0.67,Information Technology,콜
ANET,0.93,0.32,0.61,Information Technology,콜
TMUS,0.84,0.265,0.57,Communication Services,콜
LRCX,0.84,0.524,0.32,Information Technology,콜
INTU,0.74,0.137,0.6,Information Technology,콜
KLAC,0.74,0.32,0.42,Information Technology,콜
LLY,0.74,1.502,-0.76,Health Care,콜
MELI,0.74,0.0,0.74,BM외(S&P500 미편입),콜
ADI,0.74,0.244,0.5,Information Technology,콜
PLTR,0.74,0.571,0.17,Information Technology,콜
TSLA,0.74,1.861,-1.12,Consumer Discretionary,콜
TXN,0.74,0.319,0.42,Information Technology,콜
AMAT,0.74,0.519,0.22,Information Technology,콜
ALAB,0.65,0.0,0.65,BM외(S&P500 미편입),콜
NBIS,0.65,0.0,0.65,BM외(S&P500 미편입),콜
LIN,0.65,0.305,0.34,Materials,콜
PEP,0.65,0.267,0.38,Consumer Staples,콜
INTC,0.65,0.623,0.03,Information Technology,콜
AXON,0.65,0.066,0.58,Industrials,콜
APP,0.65,0.135,0.52,Communication Services,콜
CIEN,0.65,0.071,0.58,Information Technology,콜
CRWV,0.65,0.0,0.65,BM외(S&P500 미편입),콜
BRK-B,0.57,1.458,-0.89,Financials,복제
AMGN,0.56,0.324,0.24,Health Care,콜
CSCO,0.56,0.587,-0.03,Information Technology,콜
JPM,0.5,1.279,-0.78,Financials,복제
GILD,0.46,0.246,0.21,Health Care,콜
CYBR,0.46,0.0,0.46,BM외(S&P500 미편입),콜
CBRS,0.46,0.0,0.46,BM외(S&P500 미편입),콜
ORLY,0.46,0.099,0.36,Consumer Discretionary,콜
QCOM,0.46,0.225,0.24,Information Technology,콜
SITM,0.46,0.0,0.46,BM외(S&P500 미편입),콜
STX,0.46,0.243,0.22,Information Technology,콜
TLN,0.46,0.0,0.46,BM외(S&P500 미편입),콜
ADP,0.46,0.152,0.31,Industrials,콜
VIAV,0.46,0.0,0.46,BM외(S&P500 미편입),콜
VRTX,0.46,0.187,0.27,Health Care,콜
CTAS,0.46,0.112,0.35,Industrials,콜
FN,0.46,0.0,0.46,BM외(S&P500 미편입),콜
V,0.38,0.964,-0.58,Financials,복제
CDNS,0.37,0.117,0.25,Information Technology,콜
MNST,0.37,0.129,0.24,Consumer Staples,콜
SNPS,0.37,0.102,0.27,Information Technology,콜
S,0.37,0.0,0.37,BM외(S&P500 미편입),콜
FLEX,0.37,0.053,0.32,Information Technology,콜
HON,0.37,0.092,0.28,Industrials,콜
AEP,0.37,0.09,0.28,Utilities,콜
NXPI,0.37,0.076,0.29,Information Technology,콜
BE,0.37,0.0,0.37,BM외(S&P500 미편입),콜
TTWO,0.37,0.059,0.31,Communication Services,콜
JNJ,0.31,0.889,-0.58,Health Care,복제
CAT,0.31,0.503,-0.19,Industrials,복제
WMT,0.31,1.144,-0.83,Consumer Staples,복제
XOM,0.3,0.911,-0.61,Energy,복제
GE,0.29,0.479,-0.19,Industrials,복제
