ticker,price,mktcap,adv_usd,position_usd,days_to_liq,div_yield,payout,buyback_yield,total_debt,total_cash,ebitda,debt_to_equity,current_ratio,fcf,short_pct_float,short_ratio,pbr,roe,op_margin,rev_growth,net_debt,nd_ebitda,mom_12_1,vol_3y,downside_dev,beta_up,beta_dn,corr_spy
AAPL,309.9317,4523199299584,17449129605.5323,2716312.0567375887,0.0007783517339100895,0.35,0.1204,,84343996416,62399000576,167959003136,78.445,1.003,107721875456,0.0097,2.58,42.110283,1.4875101,0.32623002,0.164,21944995840,0.13065685929459028,0.5013297944063955,0.26869165392564864,0.2679691482361192,1.1590106343565565,1.1645058862337445,0.6120355497641614
ABBV,264.8897,468091207680,1759996038.122,1198581.560283688,0.0034050689158443555,2.62,1.9039999,,70884999168,6568999936,30762999808,,0.809,16870250496,0.014199999,3.69,-78.859695,,0.40035,0.102,64315999232,2.0906933534900083,0.30746917182588795,0.24647996753824758,0.25523681818808275,0.30666803015837873,0.4357194940057813,0.16884816144072307
AMZN,260.985,2815065849856,12977071466.43,5808510.638297873,0.0022379897703899278,,0.0,,251635007488,122988003328,168911994880,45.617,1.033,3219124992,0.01,2.1,5.1017475,0.30558002,0.13689,0.196,128647004160,0.7616214837282254,0.012810380528516241,0.32281947275710265,0.3041899230041936,1.2330890522489313,1.564280780702624,0.6646775379492026
ANET,190.795,240635363328,1552296481.5049999,2439716.3120567375,0.007858409592255715,,0.0,,0,13343299584,4639600128,,2.957,3891512576,0.0123000005,1.65,16.2614,0.31476,0.45393002,0.377,-13343299584,-2.8759589654015976,0.2756315038957282,0.5050239590560441,0.5252893602547511,1.3196138818090992,2.11518876142988,0.5587004701822836
AVGO,358.15,1703927349248,9385418524.949999,5262411.347517731,0.00280350382539055,0.72,0.41259998,,64907001856,19627999232,42083999744,74.018,2.238,27212249088,0.013099999,2.87,19.43299,0.37280998,0.48988,0.479,45279002624,1.0759196582890276,0.3040849314521761,0.5002143526364984,0.4687025046963476,1.8938706581152767,1.9095299142598239,0.6179305427915711
CAT,809.34,372033290240,2649719268.84,446808.5106382979,0.000843124243184265,0.8,0.2601,,45146001408,5944999936,16250999808,232.783,1.368,5048999936,0.0166,2.24,19.181854,0.56972003,0.22183001,0.24,39201001472,2.412220905491749,0.9625698871968129,0.3237654758370093,0.3115937064944848,1.206122826614812,1.1726755275963818,0.6107330972928011
CEG,276.75,98054569984,953747473.5,666666.6666666666,0.003494985230315614,0.62,0.1592,,24700000256,697000000,7952000000,76.419,1.455,-6625124864,0.032899998,3.28,3.0750341,0.15055001,0.086619996,0.23,24003000256,3.0184859476861168,-0.16032122028860996,0.5313865795311157,0.5081030254118255,1.414081982938095,1.6279624677147913,0.44238628955560266
COST,965.15,428023578624,2261950633.9,886524.8226950355,0.0019596467080417908,0.61,0.2701,,10227999744,11125999616,13790000128,60.257,1.072,6954375168,0.0173,3.33,25.890606,0.29152,0.036730003,0.215,-897999872,-0.06511964203514763,0.0325406067276246,0.20308089043868435,0.20685354142229687,0.5239372220188845,0.46999671098547935,0.34164443196847594
GE,345.48,358457114624,1522099200.96,425531.91489361704,0.001397845536694424,0.55,0.1958,,20230000640,9944999936,11482999808,113.225,0.982,6594625024,0.0137,3.59,20.32116,0.48231998,0.20571,0.211,10285000704,0.8956719390376219,0.3706780176191484,0.3117265932722499,0.32063935096372254,1.1543724891508516,1.1675260061474961,0.57041539128781
GOOGL,346.72,4240363225088,11111591719.36,2914893.617021277,0.0013116453927759899,0.25,0.042600002,,120790999040,242473992192,173164003328,18.859,2.724,22665000960,0.012,2.36,6.812323,0.48676,0.34033,0.242,-121682993152,-0.7027037421946938,0.605170391228951,0.3056984619571593,0.3005988130441826,1.0990193372095765,1.084412082129885,0.5799210918318513
JNJ,272.44,656552755200,2174576031.32,900709.219858156,0.002070999603797279,1.96,0.6079,,49036001280,20757999616,34872000512,57.709,1.089,16885125120,0.0117,3.16,7.721347,0.25742,0.2919,0.066,28278001664,0.8109085010557137,0.5323947785860841,0.17883586576950747,0.1775062665203185,0.07742551460907632,0.01057934743698528,0.006188610761555428
KLAC,182.17,238013628416,2341555796.45,1014184.3971631206,0.0021656208207823007,0.51,0.2186,,6151712768,4902408192,6054757888,96.88,2.876,2624587520,0.0231,1.95,37.49897,0.87496,0.42486,0.152,1249304576,0.2063343570642209,1.1785311593752312,0.48520340836863407,0.5118960345489749,1.947797650974216,1.641871093698952,0.6428478536413101
LLY,1251.895,1116366569472,3698160424.75,2858156.0283687944,0.003864294270795471,0.55,0.2169,,54907998208,8949999616,41706999808,162.071,1.355,11065900032,0.010199999,3.69,32.94287,1.02286,0.54222,0.477,45957998592,1.1019253075879267,0.7640557670083625,0.35567330447909745,0.35224764996614377,0.5084289579218609,0.6724306816006572,0.27710148324379047
LRCX,310.37,388372496384,3597796004.46,1326241.1347517732,0.0018431299788922177,0.34,0.18059999,,4121564928,5579170816,8641328128,33.049,2.629,3090484480,0.0241,2.14,31.139761,0.65066004,0.37390998,0.3,-1457605888,-0.16867845618279478,1.6767591495318288,0.5120184764441348,0.5000233179893235,2.1127462566617417,1.8220720969084274,0.662896912037599
MA,598.91,524651069440,2106416778.4399998,2248226.95035461,0.005336614703619181,0.58,0.17930001,,24643000320,11608999936,22200999936,439.583,1.061,16961250304,0.010299999,2.78,93.63821,2.41202,0.61108,0.141,13034000384,0.5870906905803254,-0.045436145208977985,0.2041623804010257,0.21809257722191788,0.7122153733669472,0.7840867195147166,0.49038234283805104
META,564.41,1437863378944,10433857662.689999,3659574.4680851065,0.001753701548551514,0.38,0.0791,,112317997056,90259996672,109654999040,42.997,2.226,21553625088,0.0143,1.55,5.505462,0.29848,0.34827,0.28,22058000384,0.20115818318464143,-0.2096709345696237,0.37490408802483643,0.3518379276180779,1.5096605521915472,1.4512377887543986,0.5873707389002141
MRVL,243.0712,218449215488,9996686423.2824,2822695.035460993,0.0014118153335723842,0.1,0.0825,,5277199872,3843599872,2712000000,28.97,3.278,2269700096,0.0479,1.36,11.683867,0.16028,0.14479999,0.276,1433600000,0.5286135693215339,1.396733636057029,0.6723379923693978,0.6439977829072333,2.423669758949545,2.4718989067809756,0.57764681519052
MSFT,487.505,3619990798336,19275623021.67,7092198.581560284,0.0018396807650749105,0.75,0.1983,,128812998656,76842999808,194237005824,29.118,1.23,16545500160,0.011,2.17,8.184421,0.34039003,0.45111,0.177,51969998848,0.26755971977394727,-0.2150058293032825,0.2615389803088592,0.2530379885515524,0.9606305225585725,0.8876465583615653,0.567470671617372
MU,924.08,1043649658880,44405728306.96,5283687.943262411,0.0005949331476716557,0.06,0.0112,,6376000000,26022000640,68222001152,6.33,3.425,7639499776,0.026500002,0.63,10.3579,0.66638,0.80370003,3.457,-19646000640,-0.287971626575836,6.059328189459105,0.6399522021176552,0.5939836699176686,2.111015467962808,2.4260824743761704,0.5610549993419833
NEE,83.855,174909276160,956625554.6600001,602836.8794326241,0.0031508508030965252,2.96,0.53470004,,110196998144,2865999872,14593000448,161.676,0.534,-17766875136,0.0,0.0,3.0615597,0.11677,0.31524,0.124,107330998272,7.354964364899333,0.21966580923277035,0.27172296675729335,0.2886009687263927,0.43169834952925407,0.33096738409892906,0.1830057340627861
NFLX,81.38,338861391872,3466279375.0,1141843.9716312059,0.0016470743527867051,,0.0,,16654660608,9127910400,14726931456,55.236,1.142,25387552768,0.0223,1.88,11.238778,0.49541,0.33381,0.134,7526750208,0.5110874747049546,-0.40569918098959334,0.3376694263006657,0.31322769372271236,0.743947441001676,0.7174522956379832,0.35910417831064434
NVDA,211.2899,5117412638720,29602105876.315,7092198.581560284,0.0011979212916799335,0.48,0.0061000003,,12814000128,53171998720,165514002432,6.555,3.441,46335873024,0.0126,2.23,26.180918,1.14288,0.65596,0.852,-40357998592,-0.2438343463332097,0.09711579036456586,0.4662627977605269,0.45734003272480706,1.9985066093060682,1.9550765131965047,0.6718386041530454
ORCL,145.3029,418647638016,4691028133.0833,2106382.9787234045,0.002245118680773003,1.4,0.3431,,167431995392,31893999616,30493999104,388.87,1.115,-24536750080,0.0292,1.28,11.145705,0.53376,0.36202,0.206,135537995776,4.444743220256114,-0.4846129902829892,0.5060657494637275,0.4642167988412061,1.112544359864093,1.47764472397453,0.4678712647405791
PG,145.635,338518802432,1346525190.1499999,581560.2836879432,0.002159485347701363,2.97,0.6433,,35024998400,9941999616,24752001024,64.49,0.677,13280874496,0.0117,3.1,6.346581,0.30290002,0.22084999,0.015,25082998784,1.0133725657040438,-0.018520064660787372,0.178357412647439,0.18750720009869673,0.21869280928066714,0.049992999612565515,0.09058239287510503
SPGI,433.29,127733891072,982450411.8000001,879432.6241134752,0.004475709987755105,0.89,0.2349,,15747999744,4134000128,8143000064,42.98,0.954,5448249856,0.0299,3.96,4.054934,0.14255,0.4479,0.104,11613999616,1.4262556213581776,-0.18013599948869885,0.24141835676119439,0.2640969803880012,0.6848763275593963,0.8034005269493913,0.4438043599244982
UNH,396.13,355564224512,2310215503.19,921985.8156028369,0.0019954541347543923,2.33,0.5752,,73328001024,31467999232,26680999936,69.211,0.777,24272250880,0.0188,2.72,3.6415367,0.14152999,0.071329996,0.004,41860001792,1.5689067835692079,0.4441836229476368,0.3679139957308723,0.41397945262123903,0.40223207223839125,0.2184709469967207,0.10363735422078935
V,383.03,715135123456,3119608901.6499996,3056737.5886524823,0.0048992320592426445,0.7,0.22129999,,23857999872,13792000000,31093999616,67.821,0.985,20404000768,0.012200001,2.58,20.298357,0.6119,0.66130996,0.144,10065999872,0.3237280503091134,0.05738384903317573,0.20219358813959032,0.20859121182055154,0.715682211474455,0.7326351545385906,0.4759500143727835
VRT,258.97,99700383744,1584703467.3500001,1680851.0638297873,0.005303361475697938,0.1,0.0509,,3338200064,3110599936,2678799872,70.166,1.379,2696537600,0.0321,1.99,20.95396,0.43943,0.20362,0.241,227600128,0.08496346829749289,1.1585101710043442,0.6263527716417906,0.6514059995353392,2.051984519471586,2.6193820423553755,0.5900394154628351
WMT,104.66,832898859008,2596106057.06,1744680.8510638298,0.0033601879366970478,0.93,0.3496,,73755000832,11528999936,47044001792,70.378,0.767,8984500224,0.0162,3.22,8.833626,0.22313999,0.04993,0.059,62226000896,1.3227191251952923,0.1843432100689415,0.22965504720941915,0.2355793412374602,0.7004665120252268,0.41581873619841364,0.262984335980714
XOM,161.25,663045799936,2543471876.25,1156028.3687943262,0.0022725401047066643,2.51,0.5251,,42368000000,10588000256,67937001472,15.921,1.135,20671000576,0.0115,2.81,2.5562778,0.12584,0.15859,0.441,31779999744,0.4677863175503561,0.4002363445009154,0.23342369490658182,0.23896927996625514,0.2634984886821713,0.6083323050887707,0.13843401613393136
