ticker,Security,GICS Sector,GICS Sub-Industry,mktcap,price,bm_weight
NVDA,Nvidia,Information Technology,Semiconductors,5049593888768.0,208.48,6.818855425401011
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4529157832704.0,310.34,6.1160705475200405
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4256751157248.0,348.06,5.748218839488568
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4214313189376.0,344.59,5.690911583926758
MSFT,Microsoft,Information Technology,Systems Software,3618542714880.0,487.31,4.886396840405087
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2826769268736.0,262.07,3.8172041928663134
AVGO,Broadcom,Information Technology,Semiconductors,1706829545472.0,358.76,2.304863353915394
META,Meta Platforms,Communication Services,Interactive Media & Services,1424106979328.0,559.02,1.9230813044079105
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1378194685952.0,348.95,1.8610823996096628
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1111939088384.0,1246.93,1.501536965657368
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1079602774016.0,504.32,1.4578707506066553
MU,Micron Technology,Information Technology,Semiconductors,1028233428992.0,910.43,1.3885027687981895
JPM,JPMorgan Chase,Financials,Diversified Banks,947351060480.0,356.39,1.2792810789957456
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,847455780864.0,106.49,1.1443847914157348
AMD,Advanced Micro Devices,Information Technology,Semiconductors,745624764416.0,456.745,1.0068745293479158
V,Visa Inc.,Financials,Transaction & Payment Processing Services,713977561088.0,382.41,0.9641388739931539
XOM,ExxonMobil,Energy,Integrated Oil & Gas,674559164416.0,164.05,0.9109091779169304
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,657998675968.0,273.04,0.8885462752779447
MA,Mastercard,Financials,Transaction & Payment Processing Services,525483311104.0,599.86,0.709600574978798
ABBV,AbbVie,Health Care,Biotechnology,467437846528.0,264.52,0.6312173149062642
INTC,Intel,Information Technology,Semiconductors,461265534976.0,87.26,0.6228823673756838
BAC,Bank of America,Financials,Diversified Banks,435858014208.0,62.33,0.5885726358108876
CSCO,Cisco,Information Technology,Communications Equipment,434464358400.0,110.23,0.5866906750677354
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,430795325440.0,971.4,0.5817360973618092
PLTR,Palantir Technologies,Information Technology,Application Software,422673940480.0,175.89,0.5707691659379879
ORCL,Oracle Corporation,Information Technology,Application Software,410323091456.0,142.45,0.5540908635376816
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,398382006272.0,203.09,0.5379658968006119
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,395791466496.0,91.99,0.53446769148046
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,388122247168.0,310.17,0.5241113541243718
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,384427229184.0,484.19,0.5191216868398013
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,372805533696.0,811.02,0.5034280166008979
MRK,Merck & Co.,Health Care,Pharmaceuticals,371704070144.0,150.66,0.5019406255585919
UNH,UnitedHealth Group,Health Care,Managed Health Care,357924929536.0,398.76,0.4833335910599922
GE,GE Aerospace,Industrials,Aerospace & Defense,354680373248.0,341.84,0.4789522168871781
PG,Procter & Gamble,Consumer Staples,Personal Care Products,340761903104.0,146.6,0.46015703498833205
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,336457072640.0,337.43,0.4543438909590327
