ticker,name,sector_wi26,target_price,upside_pct,n_tp_firms,rating,n_rating_firms,tp_chg_1w_pct,as_of
298040,효성중공업,기계,4235385,49.56,13,4,13,-9.67,2026-08-07
000660,SK하이닉스,반도체,3322083,133.62,24,4,24,0,2026-08-07
009150,삼성전기,IT하드웨어,2350500,83.92,20,4,20,0,2026-08-07
000150,두산,"상사,자본재",2115833,77.65,12,4,12,0.4,2026-08-07
207940,삼성바이오로직스,건강관리,2011429,29.27,21,4,21,0,2026-08-07
402340,SK스퀘어,반도체,1900000,102.34,7,4,7,0,2026-08-07
003230,삼양식품,필수소비재,1856429,42.15,14,4,14,0,2026-08-07
012450,한화에어로스페이스,"상사,자본재",1628235,48.43,17,4,17,-5.16,2026-08-07
010130,고려아연,"비철,목재등",1564600,41.47,5,4,5,-7.39,2026-08-07
267260,HD현대일렉트릭,기계,1193929,56.68,14,4,14,-0.6,2026-08-07
011070,LG이노텍,IT하드웨어,1155500,109.33,20,4,20,0,2026-08-07
079550,LIG디펜스앤에어로스페이스,"상사,자본재",1135000,53.17,19,4,19,0.29,2026-08-07
277810,레인보우로보틱스,기계,915000,96.77,1,4,1,0,2026-08-07
329180,HD현대중공업,조선,865619,71.07,21,4,21,0,2026-08-07
034730,SK,에너지,853692,68.05,13,4,13,0,2026-08-07
004170,신세계,소매(유통),853333,103.18,18,4,18,0,2026-08-07
012330,현대모비스,자동차,737200,48.48,25,4,25,0,2026-08-07
000810,삼성화재,보험,736667,14.21,15,3.87,15,0,2026-08-07
005380,현대차,자동차,722000,82.55,25,4,25,-0.28,2026-08-07
006400,삼성SDI,IT가전,694842,51.38,19,3.95,19,-0.42,2026-08-07
002380,KCC,"건설,건축관련",692200,56.61,5,4,5,-4.15,2026-08-07
128940,한미약품,건강관리,612222,55.98,18,4,18,0,2026-08-07
0126Z0,삼성에피스홀딩스,건강관리,593333,44.19,3,4,3,0,2026-08-07
006260,LS,기계,585667,84.75,12,4,12,0,2026-08-07
307950,현대오토에버,소프트웨어,576000,39.81,15,3.73,15,1.16,2026-08-07
009540,HD한국조선해양,조선,555667,39.44,15,4,15,0,2026-08-07
298020,효성티앤씨,"상사,자본재",543333,60.28,6,4,6,0.15,2026-08-07
004370,농심,필수소비재,541667,33.75,12,3.92,13,0,2026-08-07
278470,에이피알,"화장품,의류,완구",536667,39.58,21,4,21,1.16,2026-08-07
039030,이오테크닉스,반도체,532500,64.1,2,4,2,0,2026-08-07
357780,솔브레인,반도체,521556,76.8,9,4,9,0,2026-08-07
005490,POSCO홀딩스,철강,511412,54.51,17,4,17,-1.59,2026-08-07
373220,LG에너지솔루션,IT가전,509526,41.54,19,3.95,19,-2.11,2026-08-07
028260,삼성물산,"상사,자본재",496667,47.6,15,4,15,0,2026-08-07
214450,파마리서치,건강관리,494000,30.52,15,4,15,0,2026-08-07
005930,삼성전자,반도체,493542,113.65,24,4.04,24,0,2026-08-07
039490,키움증권,증권,450588,62.37,17,4,17,-3.1,2026-08-07
196170,알테오젠,건강관리,447745,46.8,4,4,4,8.26,2026-08-07
010060,OCI홀딩스,화학,430000,57.8,7,4,7,0,2026-08-07
032830,삼성생명,보험,416808,51.29,13,3.77,13,0,2026-08-07
014680,한솔케미칼,화학,408571,83.63,7,4,7,0,2026-08-07
145020,휴젤,건강관리,391429,43.12,14,4,14,3.4,2026-08-07
108490,로보티즈,기계,390600,70.2,5,4,5,-1.86,2026-08-07
051910,LG화학,화학,383769,39.05,13,3.85,13,-10.62,2026-08-07
042700,한미반도체,반도체,380000,97.61,1,4,1,0,2026-08-07
259960,크래프톤,소프트웨어,368333,52.52,18,4,18,-0.75,2026-08-07
036570,NC,소프트웨어,367500,47.89,18,4,18,0,2026-08-07
018670,SK가스,유틸리티,367000,60.97,5,4,5,0,2026-08-07
140860,파크시스템스,IT하드웨어,361125,44.16,8,4,8,0,2026-08-07
064760,티씨케이,반도체,345000,106.22,6,4,6,-10.39,2026-08-07
035420,NAVER,소프트웨어,331650,57.93,20,4,20,0.6,2026-08-07
062040,산일전기,기계,330286,109.97,7,4,7,-0.74,2026-08-07
352820,하이브,"미디어,교육",328500,77.57,20,4,20,-1.09,2026-08-07
267250,HD현대,조선,328333,45.93,6,4,6,-8.59,2026-08-07
086280,현대글로비스,운송,322750,55.54,16,4,16,0,2026-08-07
071050,한국금융지주,증권,322750,71.68,16,4,16,-6.85,2026-08-07
