종목명,종목코드,2026-04말,2026-05말,2026-06고점,2026-07저점,현재가,기준일,6월고점대비(%),5월말대비(%)
LG이노텍,011070,573000,1458000,1530000,424000,549000,2026-08-11,-64.1,-62.3
두산퓨얼셀,336260,60800,91400,89600,18900,35500,2026-08-11,-60.4,-61.2
두산테스나,131970,130700,157300,175000,51800,73300,2026-08-11,-58.1,-53.4
두산로보틱스,454910,110200,106500,166700,55400,74100,2026-08-11,-55.5,-30.4
KMW,032500,29750,33350,38200,12360,17200,2026-08-11,-55.0,-48.4
현대오토에버,307950,450500,931000,938000,315500,432500,2026-08-11,-53.9,-53.5
LG전자,066570,140900,293000,392500,148000,181700,2026-08-11,-53.7,-38.0
SK스퀘어,402340,841000,1233000,1970000,799000,945000,2026-08-11,-52.0,-23.4
SK하이닉스,000660,1286000,2333000,2919000,1322000,1425000,2026-08-11,-51.2,-38.9
서진시스템,178320,59500,77600,78200,27900,38300,2026-08-11,-51.0,-50.6
로보스타,090360,72900,94000,158800,51400,82400,2026-08-11,-48.1,-12.3
두산,000150,1596000,1972000,2203000,900000,1177000,2026-08-11,-46.6,-40.3
현대차,005380,531000,723000,750000,351000,403000,2026-08-11,-46.3,-44.3
삼성전기,009150,832000,2127000,2270000,879000,1262000,2026-08-11,-44.4,-40.7
원익IPS,240810,117100,106000,183300,76300,104700,2026-08-11,-42.9,-1.2
삼천당제약,000250,415500,339000,326500,126500,191700,2026-08-11,-41.3,-43.5
한미반도체,042700,368000,282000,361000,167600,213000,2026-08-11,-41.0,-24.5
LG디스플레이,034220,12260,16090,16690,8540,9940,2026-08-11,-40.4,-38.2
비에이치,090460,34500,30650,30250,13100,18120,2026-08-11,-40.1,-40.9
이오테크닉스,039030,468000,458000,612000,240000,368500,2026-08-11,-39.8,-19.5
레인보우로보틱스,277810,664000,702000,789000,373000,480000,2026-08-11,-39.2,-31.6
HD현대일렉트릭,267260,1252000,1053000,1194000,583000,739000,2026-08-11,-38.1,-29.8
현대로템,064350,268500,200500,226500,120100,141400,2026-08-11,-37.6,-29.5
이수페타시스,007660,150300,129200,139400,59200,87800,2026-08-11,-37.0,-32.0
인벤티지랩,389470,61500,50900,50900,24750,32150,2026-08-11,-36.8,-36.8
오이솔루션,138080,38700,34750,39400,13300,25350,2026-08-11,-35.7,-27.1
씨어스,458870,47650,31750,39250,21700,25250,2026-08-11,-35.7,-20.5
주성엔지니어링,036930,126000,200000,250500,98300,162400,2026-08-11,-35.2,-18.8
LS전선아시아,229640,87100,69100,72000,34050,46800,2026-08-11,-35.0,-32.3
현대모비스,012330,425000,768000,761000,440000,495500,2026-08-11,-34.9,-35.5
