종목명,종목코드,최종일,종가,기간고가,고가일,기간저가,저가일,2026-03말,2026-04말,2026-05말,2026-06말,2026-07말,2026-08말,분할의심
APR,278470,2026-08-11,385500,459000,2026-04-28,267000,2026-03-04,337000,424500,395500,385500,320000,385500,
BGF리테일,282330,2026-08-11,150500,153100,2026-08-07,108000,2026-06-22,139300,132000,124200,115800,125000,150500,
CJ대한통운,000120,2026-08-11,77400,127800,2026-03-03,70700,2026-07-29,103400,101100,85500,74100,74500,77400,
CJ바이오사이언스,311690,2026-08-11,4020,8470,2026-03-26,3185,2026-07-30,7820,7790,5160,4360,3430,4020,
CJ씨푸드,011150,2026-08-11,2065,2780,2026-04-17,1818,2026-06-26,2640,2715,2170,1952,1932,2065,
CJ제일제당,097950,2026-08-11,188000,246500,2026-04-30,177500,2026-06-26,216500,246500,202000,185100,191400,188000,
DB손해보험,005830,2026-08-11,164500,194700,2026-03-25,131500,2026-06-26,163800,167600,143100,133900,157000,164500,
DL이앤씨,375500,2026-08-11,73000,102500,2026-04-15,41650,2026-03-04,66800,99000,76500,64100,58500,73000,
Entertainment,035900,2026-08-11,46550,66900,2026-03-19,42000,2026-07-30,61500,62900,57700,51400,43200,46550,
GS,078930,2026-08-11,97500,98900,2026-08-07,61400,2026-03-04,63800,81900,72500,66300,89000,97500,
GS건설,006360,2026-08-11,34750,43100,2026-04-21,18750,2026-03-04,25100,38050,30500,25100,23450,34750,
GS리테일,007070,2026-08-11,27550,29450,2026-05-15,18460,2026-03-09,21900,23500,25550,23500,24750,27550,
HDC현대산업개발,294870,2026-08-11,22450,24300,2026-04-22,17210,2026-07-15,20450,22950,20550,17960,19850,22450,
HD한국조선해양,009540,2026-08-11,398000,479000,2026-04-27,327000,2026-07-14,344000,461500,423000,350000,384500,398000,
HD현대,267250,2026-08-11,224500,310500,2026-04-30,187700,2026-07-29,239000,310500,277500,199500,199600,224500,
HD현대중공업,329180,2026-08-11,503000,745000,2026-05-26,434000,2026-07-29,465000,685000,696000,592000,481000,503000,
HJ중공업,097230,2026-08-11,17070,32650,2026-04-23,13680,2026-07-29,21750,29000,20550,20150,15700,17070,
HK이노엔,195940,2026-08-11,42250,54500,2026-04-27,34900,2026-07-30,49050,52400,45000,40500,36100,42250,
HLB,028300,2026-08-11,41950,68200,2026-04-15,25650,2026-07-13,50600,60800,50800,52000,30600,41950,
HLB테라퓨틱스,115450,2026-08-11,2355,3980,2026-04-15,1451,2026-07-13,2915,3530,2650,2310,1657,2355,
HMM,011200,2026-08-11,21650,24500,2026-03-03,18310,2026-06-26,19570,20500,19560,18610,20950,21650,
HSD엔진,082740,2026-08-11,44700,89500,2026-05-04,38000,2026-08-03,43550,88000,64200,51000,39050,44700,
KAI,047810,2026-08-11,135500,202000,2026-03-17,117500,2026-07-29,164700,169000,168300,146400,127300,135500,
KB금융,105560,2026-08-11,166600,186200,2026-07-13,137700,2026-03-04,141900,160500,150600,159000,168500,166600,
LG,003550,2026-08-11,108300,165800,2026-06-01,82800,2026-03-31,82800,99100,146600,97300,101100,108300,
LG디스플레이,034220,2026-08-11,9940,16690,2026-06-02,8540,2026-07-30,10850,12260,16090,11530,9210,9940,
LG생활건강,051900,2026-08-11,318500,333500,2026-08-07,215000,2026-06-26,247000,254000,247500,229500,287000,318500,
LG에너지솔루션,373220,2026-08-11,354500,484500,2026-04-22,300500,2026-07-29,394500,460500,458000,362000,328000,354500,
LG이노텍,011070,2026-08-11,549000,1530000,2026-06-01,246000,2026-03-04,293500,573000,1458000,981000,514000,549000,
LG전자,066570,2026-08-11,181700,392500,2026-06-02,105600,2026-03-31,105600,140900,293000,203000,162100,181700,
LG화학,051910,2026-08-11,274000,429500,2026-05-08,232500,2026-07-29,299000,397000,367000,280000,258000,274000,
LIG넥스원,079550,2026-08-11,760000,1020000,2026-04-22,611000,2026-03-31,611000,941000,801000,719000,699000,760000,
