code,name,market,wics,trade_date,close,mktcap_억,per,eps,cns_per,cns_eps,pbr,bps,foreign_pct,hi52,lo52,error
034730,SK,KOSPI,석유와가스,2026-08-28,543000.0,393690,4.93,110113.0,3.35,162315.0,0.8,674968.0,30.01,920000.0,200000.0,
096770,SK이노베이션,KOSPI,석유와가스,2026-08-28,116900.0,197623,,-6951.0,6.93,16865.0,0.76,154159.0,14.59,166000.0,87700.0,
010950,S-Oil,KOSPI,석유와가스,2026-08-28,149200.0,167974,11.42,13069.0,5.98,24964.0,1.72,86631.0,79.26,179700.0,57600.0,
078930,GS,KOSPI,석유와가스,2026-08-28,129200.0,120021,5.24,24679.0,4.86,26608.0,0.75,173176.0,18.49,133200.0,44000.0,
009830,한화솔루션,KOSPI,에너지장비및서비스,2026-08-28,33750.0,75901,,-881.0,20.9,1615.0,0.66,51067.0,12.59,59300.0,22000.0,
336260,두산퓨얼셀,KOSPI,에너지장비및서비스,2026-08-28,45400.0,29734,,-2308.0,-41.31,-1099.0,12.4,3661.0,16.31,108900.0,18230.0,
112610,씨에스윈드,KOSPI,에너지장비및서비스,2026-08-28,49400.0,20833,479.61,103.0,11.21,4405.0,1.6,30897.0,17.3,79400.0,34500.0,
083650,비에이치아이,KOSDAQ,에너지장비및서비스,2026-08-28,65400.0,20238,38.88,1682.0,,,10.02,6525.0,10.06,114200.0,33150.0,
475150,SK이터닉스,KOSPI,에너지장비및서비스,2026-08-28,55800.0,19009,253.64,220.0,65.03,858.0,7.07,7888.0,3.18,87700.0,17210.0,
322000,HD현대에너지솔루션,KOSPI,에너지장비및서비스,2026-08-28,136000.0,15232,18.06,7532.0,,,3.23,42125.0,7.56,256000.0,42250.0,
051910,LG화학,KOSPI,화학,2026-08-28,277000.0,195541,,-19319.0,-63.94,-4332.0,0.61,452637.0,37.34,437500.0,224000.0,
003670,포스코퓨처엠,KOSPI,화학,2026-08-28,186300.0,165707,368.18,506.0,576.78,323.0,3.95,47212.0,9.77,304000.0,114700.0,
086520,에코프로,KOSDAQ,화학,2026-08-28,90200.0,122470,199.56,452.0,,,5.55,16243.0,19.43,190000.0,45050.0,
010060,OCI홀딩스,KOSPI,화학,2026-08-28,274500.0,51250,137.53,1996.0,31.8,8632.0,1.25,220043.0,15.08,414000.0,82100.0,
011790,SKC,KOSPI,화학,2026-08-28,91300.0,45283,,-20562.0,-14.92,-6118.0,2.1,43545.0,11.65,188400.0,61100.0,
011780,금호석유화학,KOSPI,화학,2026-08-28,125900.0,31673,7.21,17465.0,6.52,19321.0,0.47,265467.0,28.41,168700.0,102800.0,
011170,롯데케미칼,KOSPI,화학,2026-08-28,59500.0,25451,,-27422.0,-14.17,-4199.0,0.19,316159.0,21.38,119700.0,52500.0,
014680,한솔케미칼,KOSPI,화학,2026-08-28,203000.0,21912,14.86,13662.0,13.3,15267.0,1.99,102067.0,42.79,346500.0,158600.0,
457190,이수스페셜티케미컬,KOSPI,화학,2026-08-28,66100.0,19975,301.83,219.0,,,14.42,4583.0,5.75,133700.0,43000.0,
120110,코오롱인더,KOSPI,화학,2026-08-28,56500.0,16920,12.85,4397.0,8.05,7015.0,0.43,131731.0,18.1,104900.0,33750.0,
093370,후성,KOSPI,화학,2026-08-28,12520.0,13428,36.82,340.0,,,3.67,3408.0,10.81,23550.0,5450.0,
005070,코스모신소재,KOSPI,화학,2026-08-28,40400.0,13419,,-216.0,,,2.48,16280.0,6.46,68800.0,26600.0,
004000,롯데정밀화학,KOSPI,화학,2026-08-28,48350.0,12474,6.21,7792.0,5.95,8124.0,0.49,99599.0,23.71,77800.0,41000.0,
000210,DL,KOSPI,화학,2026-08-28,50000.0,10478,8.03,6229.0,,,0.26,190742.0,21.66,77700.0,33900.0,
003240,태광산업,KOSPI,화학,2026-08-28,918000.0,10221,8.61,106610.0,,,0.18,5050586.0,3.33,1699000.0,708000.0,
285130,SK케미칼,KOSPI,화학,2026-08-28,54200.0,9376,143.01,379.0,,,0.42,128161.0,11.16,81800.0,35850.0,
298050,HS효성첨단소재,KOSPI,화학,2026-08-28,178800.0,8010,21.59,8283.0,9.99,17906.0,0.89,201086.0,8.43,288000.0,135000.0,
