종목명,종목코드,종가_8/11,종가_6/30,종가_5/29,주가변화_6월대비(%),PER_8/11,PER_6/30,PBR_8/11,PBR_6/30,EPS(후행),BPS,배당수익률(%),시가총액(억),상장주식수
APR,278470,385500.0,385500.0,395500.0,0.0,49.65,49.65,32.37,32.37,7765.0,11910.0,1.32,144324,37438155.0
BGF리테일,282330,150500.0,115800.0,124200.0,30.0,13.32,10.25,1.98,1.52,11303.0,76009.0,2.72,26012,17283906.0
BNK금융지주,138930,14900.0,17050.0,16820.0,-12.6,5.93,6.79,0.43,0.49,2512.0,34780.0,4.93,46239,310327033.0
CJ대한통운,000120,77400.0,74100.0,85500.0,4.5,6.82,6.53,0.37,0.36,11347.0,207860.0,1.03,17657,22812344.0
CJ바이오사이언스,311690,4020.0,4360.0,5160.0,-7.8,0.0,0.0,0.98,1.06,0.0,4105.0,0.0,525,13065462.0
CJ씨푸드,011150,2065.0,1952.0,2170.0,5.8,26.47,25.03,0.84,0.8,78.0,2447.0,0.0,742,35930773.0
CJ제일제당,097950,188000.0,185100.0,202000.0,1.6,0.0,0.0,0.43,0.42,0.0,440524.0,3.19,28302,15054186.0
Corp,006260,322500.0,365500.0,446000.0,-11.8,32.57,36.91,1.79,2.03,9903.0,180391.0,0.78,100620,31200000.0
DB손해보험,005830,164500.0,133900.0,143100.0,22.9,5.56,4.52,0.92,0.75,29597.0,179423.0,4.62,107748,65500349.0
DGB금융지주,139130,17060.0,16810.0,17340.0,1.5,6.79,6.69,0.44,0.43,2511.0,38725.0,4.1,27017,158363408.0
DL이앤씨,375500,73000.0,64100.0,76500.0,13.9,8.35,7.33,0.58,0.51,8746.0,126050.0,1.22,28246,38693623.0
ELECTRIC,010120,203000.0,238000.0,241500.0,-14.7,105.24,123.38,14.58,17.1,1929.0,13920.0,0.3,304500,150000000.0
Entertainment,035900,46550.0,51400.0,57700.0,-9.4,9.61,10.61,2.49,2.74,4846.0,18730.0,1.88,16540,35532492.0
GS,078930,97500.0,66300.0,72500.0,47.1,11.56,7.86,0.63,0.43,8435.0,155303.0,3.08,90573,92895495.0
GS건설,006360,34750.0,25100.0,30500.0,38.4,32.39,23.39,0.62,0.44,1073.0,56462.0,1.44,29740,85581490.0
GS리테일,007070,27550.0,23500.0,25550.0,17.2,52.98,45.19,0.7,0.6,520.0,39303.0,2.18,23034,83607415.0
HDC현대산업개발,294870,22450.0,17960.0,20550.0,25.0,9.07,7.25,0.44,0.35,2476.0,50647.0,3.12,14796,65907330.0
HD한국조선해양,009540,398000.0,350000.0,423000.0,13.7,12.98,11.41,2.12,1.86,30664.0,187883.0,3.09,281677,70773116.0
HD현대,267250,224500.0,199500.0,277500.0,12.5,16.48,14.64,1.57,1.39,13623.0,143153.0,1.78,177339,78993085.0
HD현대일렉트릭,267260,739000.0,972000.0,1053000.0,-24.0,36.31,47.75,13.11,17.24,20354.0,56366.0,0.96,266388,36047135.0
HD현대중공업,329180,503000.0,592000.0,696000.0,-15.0,32.03,37.7,5.65,6.65,15702.0,89025.0,1.13,527955,104961225.0
HJ중공업,097230,17070.0,20150.0,20550.0,-15.3,29.95,35.35,2.3,2.72,570.0,7416.0,0.0,15413,90295344.0
HK이노엔,195940,42250.0,40500.0,45000.0,4.3,15.81,15.16,0.9,0.86,2672.0,46890.0,0.97,11969,28329891.0
HLB,028300,41950.0,52000.0,50800.0,-19.3,0.0,0.0,13.28,16.46,0.0,3159.0,0.0,55877,133198223.0
HLB테라퓨틱스,115450,2355.0,2310.0,2650.0,1.9,0.0,0.0,1.38,1.35,0.0,1705.0,0.0,2086,88580109.0
HMM,011200,21650.0,18610.0,19560.0,16.3,11.1,9.54,0.77,0.66,1951.0,28168.0,3.23,204211,943237970.0
HSD엔진,082740,44700.0,51000.0,64200.0,-12.4,21.58,24.63,6.71,7.65,2071.0,6666.0,0.0,37301,83447142.0
IBK기업은행,024110,20150.0,19900.0,20200.0,1.3,6.33,6.25,0.44,0.44,3183.0,45716.0,5.2,160681,797425869.0
JB금융지주,175330,28750.0,24800.0,23900.0,15.9,7.94,6.85,0.91,0.78,3619.0,31738.0,3.97,53625,186521824.0
KAI,047810,135500.0,146400.0,168300.0,-7.4,71.05,76.77,7.22,7.8,1907.0,18776.0,0.37,132079,97475107.0
KB금융,105560,166600.0,159000.0,150600.0,4.8,10.81,10.32,1.01,0.97,15410.0,164669.0,2.62,590910,354687734.0
KMW,032500,17200.0,18990.0,33350.0,-9.4,0.0,0.0,5.36,5.91,0.0,3211.0,0.0,7257,42191701.0
LG,003550,108300.0,97300.0,146600.0,11.3,22.66,20.36,0.58,0.52,4780.0,186173.0,2.86,163741,151192004.0
LG디스플레이,034220,9940.0,11530.0,16090.0,-13.8,21.94,25.45,0.75,0.87,453.0,13208.0,0.0,49700,500000000.0
LG생활건강,051900,318500.0,229500.0,247500.0,38.8,0.0,0.0,0.98,0.71,0.0,325224.0,0.63,47697,14975523.0
LG에너지솔루션,373220,354500.0,362000.0,458000.0,-2.1,0.0,0.0,4.1,4.19,0.0,86391.0,0.0,829530,234000000.0
LG이노텍,011070,549000.0,981000.0,1458000.0,-44.0,38.07,68.03,2.25,4.03,14421.0,243532.0,0.34,129932,23667107.0
LG전자,066570,181700.0,203000.0,293000.0,-10.5,34.09,38.09,1.37,1.53,5330.0,132659.0,0.74,295961,162884638.0
LG화학,051910,274000.0,280000.0,367000.0,-2.1,0.0,0.0,0.65,0.67,0.0,419617.0,0.73,193423,70592343.0
LIG넥스원,079550,760000.0,719000.0,801000.0,5.7,65.49,61.96,11.61,10.98,11604.0,65465.0,0.39,167200,22000000.0
LS전선아시아,229640,46800.0,52500.0,69100.0,-10.9,33.74,37.85,6.78,7.61,1387.0,6898.0,0.53,14332,30624879.0
NAVER,035420,214000.0,199000.0,234000.0,7.5,16.45,15.3,1.16,1.08,13009.0,184396.0,1.23,335932,156977585.0
NH투자증권,005940,28350.0,29400.0,30200.0,-3.6,9.84,10.2,1.13,1.17,2882.0,25187.0,4.59,104670,369206105.0
SKC,011790,85300.0,106600.0,139300.0,-20.0,0.0,0.0,3.72,4.64,0.0,22956.0,0.0,42307,49598298.0
SK바이오사이언스,302440,37500.0,35750.0,40900.0,4.9,0.0,0.0,1.64,1.57,0.0,22806.0,0.0,29421,78456553.0
SK바이오팜,326030,90500.0,86600.0,89700.0,4.5,26.55,25.4,8.72,8.34,3409.0,10382.0,0.0,70873,78313250.0
SK스퀘어,402340,945000.0,1697000.0,1233000.0,-44.3,14.17,25.44,4.51,8.1,66713.0,209564.0,0.0,1247007,131958386.0
SK오션플랜트,100090,13980.0,15130.0,17010.0,-7.6,22.37,24.21,1.07,1.16,625.0,13037.0,0.0,8734,62478129.0
SK이노베이션,096770,124100.0,94900.0,119200.0,30.8,0.0,0.0,0.97,0.74,0.0,128060.0,0.0,209795,169052788.0
SK하이닉스,000660,1425000.0,2650000.0,2333000.0,-46.2,22.97,42.71,8.3,15.43,62044.0,171751.0,0.21,10409516,730492365.0
SM엔터,041510,76300.0,70800.0,79700.0,7.8,5.03,4.67,1.74,1.62,15166.0,43793.0,2.12,17469,22894690.0
STX엔진,077970,28300.0,29300.0,40400.0,-3.4,15.78,16.34,3.31,3.43,1793.0,8545.0,0.0,11362,40148063.0
YG엔터,122870,43300.0,41650.0,44600.0,4.0,21.76,20.93,1.56,1.5,1990.0,27689.0,0.69,8093,18691049.0
고바이오랩,348150,3340.0,3225.0,3905.0,3.6,0.0,0.0,2.02,1.95,0.0,1653.0,0.0,649,19418889.0
글로비스,086280,201500.0,183100.0,242500.0,10.0,8.72,7.92,1.46,1.33,23117.0,138016.0,2.88,151125,75000000.0
기아,000270,134300.0,138000.0,169200.0,-2.7,6.93,7.12,0.85,0.88,19382.0,157456.0,5.06,524325,390412998.0
노바렉스,194700,16750.0,12340.0,15170.0,35.7,8.38,6.17,1.17,0.87,2000.0,14257.0,2.39,3058,18254848.0
녹십자,006280,132700.0,120200.0,141400.0,10.4,0.0,0.0,1.24,1.13,0.0,106673.0,1.13,15508,11686538.0
농우바이오,054050,6970.0,6730.0,7180.0,3.6,9.09,8.77,0.4,0.39,767.0,17324.0,3.59,1117,16030561.0
대우건설,047040,17320.0,18840.0,26200.0,-8.1,0.0,0.0,2.13,2.31,0.0,8148.0,0.0,71169,410907638.0
대웅제약,069620,130100.0,112700.0,130600.0,15.4,7.64,6.62,1.49,1.29,17022.0,87439.0,0.46,15074,11586575.0
대한광통신,010170,13450.0,13200.0,22700.0,1.9,0.0,0.0,27.79,27.27,0.0,484.0,0.0,20913,155485660.0
덕산네오룩스,213420,36350.0,32800.0,38850.0,10.8,16.79,15.15,1.98,1.78,2165.0,18395.0,0.0,9026,24831179.0
동국제강,460860,10130.0,8810.0,10950.0,15.0,61.02,53.07,0.27,0.23,166.0,38029.0,3.95,5025,49608017.0
동성화인텍,033500,17480.0,17360.0,20500.0,0.7,9.35,9.29,2.02,2.01,1869.0,8649.0,2.29,5242,29989494.0
동아ST,170900,39700.0,33950.0,40000.0,16.9,0.0,0.0,0.59,0.51,0.0,66929.0,1.76,3862,9727881.0
동아쏘시오홀딩스,000640,97000.0,81100.0,90300.0,19.6,7.07,5.91,0.57,0.47,13723.0,171539.0,1.75,6531,6732527.0
동원산업,006040,37100.0,32150.0,35500.0,15.4,4.22,3.66,0.46,0.4,8793.0,79927.0,3.1,16376,44140819.0
동진쎄미켐,005290,43000.0,58300.0,54700.0,-26.2,22.31,30.25,2.04,2.76,1927.0,21091.0,1.51,21917,50970126.0
두산,000150,1177000.0,1487000.0,1972000.0,-20.8,278.25,351.54,13.47,17.01,4230.0,87399.0,0.34,190601,16193835.0
두산로보틱스,454910,74100.0,90300.0,106500.0,-17.9,0.0,0.0,13.78,16.79,0.0,5378.0,0.0,48032,64819980.0
두산밥캣,241560,63800.0,61700.0,64700.0,3.4,15.2,14.7,0.85,0.82,4196.0,75131.0,2.66,61156,95856065.0
두산에너빌리티,034020,77900.0,86800.0,105600.0,-10.3,590.15,657.58,6.41,7.14,132.0,12156.0,0.0,498997,640561146.0
두산테스나,131970,73300.0,116300.0,157300.0,-37.0,939.74,1491.03,3.23,5.12,78.0,22719.0,0.22,14167,19327238.0
두산퓨얼셀,336260,35500.0,56000.0,91400.0,-36.6,0.0,0.0,7.9,12.47,0.0,4491.0,0.0,23250,65493726.0
디앤디파마텍,347850,60900.0,87500.0,94600.0,-30.4,0.0,0.0,33.35,47.92,0.0,1826.0,0.0,27915,45837609.0
라이트론,069540,2940.0,2215.0,4820.0,32.7,0.0,0.0,3.1,2.34,0.0,947.0,0.0,3313,112691897.0
램테크놀러지,140860,283500.0,248500.0,275500.0,14.1,57.12,50.07,8.75,7.67,4963.0,32386.0,0.18,19852,7002469.0
랩지노믹스,084650,815.0,698.0,886.0,16.8,0.0,0.0,0.4,0.35,0.0,2015.0,0.0,605,74239990.0
레고켐,141080,116900.0,149900.0,151100.0,-22.0,0.0,0.0,8.39,10.76,0.0,13930.0,0.0,43276,37019418.0
레인보우로보틱스,277810,480000.0,519000.0,702000.0,-7.5,6575.34,7109.59,69.58,75.23,73.0,6899.0,0.0,93119,19399858.0
로보스타,090360,82400.0,92600.0,94000.0,-11.0,0.0,0.0,9.25,10.4,0.0,8904.0,0.0,8034,9750000.0
로보티즈,108490,243500.0,260000.0,325500.0,-6.3,632.47,675.32,11.22,11.98,385.0,21707.0,0.0,35700,14661028.0
로템,064350,141400.0,173000.0,200500.0,-18.3,20.04,24.52,5.01,6.13,7055.0,28211.0,0.42,154327,109142293.0
롯데쇼핑,023530,98800.0,169700.0,147700.0,-41.8,54.17,93.04,0.18,0.32,1824.0,537131.0,4.05,27949,28288755.0
롯데케미칼,011170,58100.0,64000.0,80700.0,-9.2,0.0,0.0,0.19,0.21,0.0,298452.0,1.72,24853,42775419.0
루닛,328130,11640.0,11440.0,16760.0,1.7,0.0,0.0,5.29,5.2,0.0,2202.0,0.0,8667,74458180.0
마크로젠,038290,12720.0,11970.0,12990.0,6.3,68.02,64.01,0.88,0.83,187.0,14505.0,3.93,1379,10841400.0
매일유업,267980,34400.0,32200.0,34200.0,6.8,4.45,4.17,0.4,0.37,7724.0,86122.0,3.78,2636,7663638.0
메드팩토,235980,2960.0,3145.0,3530.0,-5.9,0.0,0.0,2.21,2.34,0.0,1342.0,0.0,1015,34275121.0
메디톡스,086900,78000.0,80100.0,96400.0,-2.6,32.9,33.78,1.21,1.24,2371.0,64588.0,1.54,5693,7298497.0
메리츠금융지주,138040,123800.0,105600.0,102900.0,17.2,9.59,8.18,2.02,1.72,12903.0,61286.0,0.0,207176,167347273.0
미래에셋증권,006800,35500.0,42750.0,61400.0,-17.0,13.31,16.02,1.56,1.88,2668.0,22776.0,0.85,198646,559566880.0
바이넥스,053030,7660.0,7320.0,8890.0,4.6,0.0,0.0,1.3,1.24,0.0,5881.0,0.0,2504,32684188.0
바이오니아,064550,7410.0,6840.0,8920.0,8.3,0.0,0.0,0.91,0.84,0.0,8124.0,0.0,1913,25810291.0
바이젠셀,308080,6070.0,6250.0,13590.0,-2.9,0.0,0.0,2.85,2.93,0.0,2133.0,0.0,1244,20499260.0
보령,003850,9230.0,8410.0,9020.0,9.8,12.05,10.98,0.92,0.84,766.0,10008.0,1.73,7918,85787207.0
보로노이,310210,176500.0,186700.0,287000.0,-5.5,0.0,0.0,31.08,32.88,0.0,5678.0,0.0,32552,18443093.0
뷰노,338220,8430.0,7670.0,8970.0,9.9,0.0,0.0,3.27,2.97,0.0,2579.0,0.0,1180,14001823.0
브이티,018290,14910.0,11530.0,13310.0,29.3,8.63,6.67,2.13,1.65,1728.0,6998.0,0.0,5210,34941838.0
비에이치,090460,18120.0,21250.0,30650.0,-14.7,18.28,21.44,0.79,0.92,991.0,23055.0,1.38,6109,33711538.0
비피도,238200,2580.0,2340.0,2740.0,10.3,0.0,0.0,0.46,0.42,0.0,5615.0,0.0,211,8180000.0
사조산업,007160,55200.0,48500.0,44150.0,13.8,0.0,0.0,0.52,0.45,0.0,106906.0,0.36,2760,5000000.0
삼성SDI,006400,459500.0,487000.0,688000.0,-5.6,0.0,0.0,1.69,1.79,0.0,272485.0,0.0,370291,80585530.0
삼성물산,028260,344500.0,468500.0,432500.0,-26.5,23.11,31.43,1.13,1.54,14905.0,305019.0,0.81,558667,162167581.0
삼성바이오로직스,207940,1609000.0,1391000.0,1363000.0,15.7,60.43,52.24,9.98,8.63,26628.0,161142.0,0.0,744821,46290951.0
삼성생명,032830,289500.0,401000.0,388500.0,-27.8,22.57,31.27,0.83,1.15,12824.0,349293.0,1.83,579000,200000000.0
삼성전기,009150,1262000.0,2184000.0,2127000.0,-42.2,135.05,233.71,9.99,17.29,9345.0,126302.0,0.19,942634,74693696.0
삼성전자,005930,239500.0,334000.0,317000.0,-28.3,36.26,50.57,3.74,5.22,6605.0,63997.0,0.7,14001837,5846278608.0
삼성중공업,010140,21800.0,23300.0,27950.0,-6.4,34.12,36.46,4.49,4.8,639.0,4857.0,0.0,191840,880000000.0
삼성증권,016360,92700.0,108500.0,119800.0,-14.6,8.22,9.62,1.03,1.2,11279.0,90348.0,4.31,82781,89300000.0
삼성화재,000810,641000.0,618000.0,569000.0,3.7,13.5,13.02,1.28,1.24,47478.0,500071.0,3.04,286190,44647473.0
삼양홀딩스,000070,60400.0,54200.0,56900.0,11.4,0.0,0.0,0.23,0.21,0.0,261061.0,5.79,4689,7763191.0
삼천당제약,000250,191700.0,226000.0,339000.0,-15.2,848.23,1000.0,16.15,19.04,226.0,11868.0,0.03,44968,23457472.0
서진시스템,178320,38300.0,52500.0,77600.0,-27.0,0.0,0.0,2.92,4.0,0.0,13127.0,0.0,24378,63650737.0
세아베스틸지주,003030,113000.0,113800.0,153200.0,-0.7,7.22,7.27,0.22,0.22,15656.0,510476.0,1.59,4680,4141657.0
세진중공업,075580,11290.0,13210.0,14930.0,-14.5,12.67,14.83,2.81,3.29,891.0,4019.0,1.99,6418,56849456.0
셀리드,299660,1920.0,1406.0,3000.0,36.6,0.0,0.0,0.76,0.56,0.0,2515.0,0.0,566,29502977.0
셀바스AI,108860,10950.0,7550.0,11090.0,45.0,0.0,0.0,2.68,1.85,0.0,4090.0,0.0,2947,26914790.0
셀트리온,068270,210500.0,173300.0,192900.0,21.5,47.31,38.95,2.81,2.31,4449.0,75030.0,0.36,489526,232553706.0
솔브레인,357780,314000.0,365500.0,382500.0,-14.1,30.53,35.54,2.28,2.65,10285.0,137853.0,0.75,24425,7778566.0
시프트업,462870,33650.0,32900.0,28500.0,2.3,10.22,9.99,2.12,2.07,3293.0,15882.0,0.0,19767,58741890.0
신라젠,215600,2315.0,2300.0,2930.0,0.7,0.0,0.0,2.9,2.89,0.0,797.0,0.0,3208,138553564.0
신세계,004170,428500.0,755000.0,515000.0,-43.2,269.5,474.84,0.84,1.49,1590.0,508154.0,1.21,40473,9445181.0
신한지주,055550,104500.0,95800.0,93600.0,9.1,10.65,9.76,0.86,0.79,9812.0,121468.0,2.48,490575,469450239.0
쎌바이오텍,049960,16140.0,15600.0,17500.0,3.5,10.91,10.55,0.84,0.81,1479.0,19234.0,3.72,1517,9400000.0
씨어스,458870,25250.0,39250.0,31750.0,-35.7,59.13,91.92,24.23,37.67,427.0,1042.0,0.0,9610,38059740.0
씨젠,096530,32550.0,29700.0,30400.0,9.6,31.09,28.37,1.48,1.35,1047.0,22020.0,3.07,17000,52225994.0
아모레퍼시픽,090430,137300.0,105700.0,115100.0,29.9,40.19,30.94,1.74,1.34,3416.0,78989.0,0.9,80311,58492759.0
아미코젠,092040,1088.0,1481.0,1575.0,-26.5,0.0,0.0,0.64,0.87,0.0,1703.0,0.0,769,70655387.0
아이센스,099190,19140.0,16160.0,17870.0,18.4,0.0,0.0,1.68,1.42,0.0,11419.0,0.52,5504,28757309.0
알테오젠,196170,327500.0,361000.0,369000.0,-9.3,160.46,136.07,51.55,43.72,2041.0,6353.0,0.11,175495,53586343.0
에스티팜,237690,108000.0,132200.0,134100.0,-18.3,39.91,48.85,3.77,4.61,2706.0,28666.0,0.46,22547,20876638.0
에이비엘바이오,298380,89100.0,99500.0,111900.0,-10.5,0.0,0.0,31.74,35.45,0.0,2807.0,0.0,49885,55987463.0
에이엘티,172670,9540.0,10350.0,14010.0,-7.8,0.0,0.0,0.91,0.99,0.0,10470.0,0.0,855,8960259.0
에코프로비엠,247540,109800.0,142500.0,217000.0,-22.9,272.46,353.6,6.21,8.06,403.0,17677.0,0.09,107418,97830434.0
엘앤에프,066970,98500.0,111500.0,168300.0,-11.7,0.0,0.0,5.63,6.38,0.0,17482.0,0.0,40073,40683260.0
오뚜기,007310,333000.0,303000.0,334000.0,9.9,16.42,14.94,0.55,0.5,20279.0,603102.0,2.7,13346,4007830.0
오이솔루션,138080,25350.0,25000.0,34750.0,1.4,0.0,0.0,4.39,4.33,0.0,5774.0,0.0,3138,12377758.0
올리패스,244460,1651.0,1651.0,1651.0,0.0,0.0,0.0,7.94,7.94,0.0,208.0,0.0,134,8125511.0
올릭스,226950,131900.0,155600.0,175100.0,-15.2,0.0,0.0,19.58,23.09,0.0,6738.0,0.0,27782,21062850.0
옵티시스,109080,9100.0,8850.0,12920.0,2.8,9.72,9.46,0.73,0.71,936.0,12530.0,2.75,513,5636000.0
우리금융지주,316140,33800.0,29000.0,29700.0,16.6,8.34,7.16,0.69,0.59,4052.0,49068.0,4.02,246094,728089682.0
원익IPS,240810,104700.0,168100.0,106000.0,-37.7,60.63,97.34,5.25,8.43,1727.0,19936.0,0.19,51391,49083901.0
위아,011210,64900.0,63900.0,91000.0,1.6,17.47,17.2,0.48,0.47,3716.0,135750.0,1.85,17650,27195083.0
유바이오로직스,206650,9120.0,8650.0,10000.0,5.4,8.09,7.68,1.91,1.81,1127.0,4782.0,0.0,3352,36752307.0
유비쿼스,264450,10540.0,9990.0,13090.0,5.5,6.48,6.14,0.79,0.75,1627.0,13350.0,4.46,1546,14665493.0
유한양행,000100,85600.0,70200.0,85000.0,21.9,32.94,27.01,2.77,2.28,2599.0,30855.0,0.7,68178,79647601.0
이마트,139480,80600.0,82400.0,86100.0,-2.2,15.85,16.21,0.2,0.2,5084.0,410591.0,3.1,22242,27595819.0
이수페타시스,007660,87800.0,115400.0,129200.0,-23.9,38.54,50.66,8.53,11.21,2278.0,10292.0,0.26,64453,73409219.0
