code,name,market,wi26,dir,wics,source,k200,prev_dir
034730,SK,KOSPI,에너지,01_에너지,석유와가스,PG sector_map(wi26),1,01_에너지
096770,SK이노베이션,KOSPI,에너지,01_에너지,석유와가스,PG sector_map(wi26),1,01_에너지
010950,S-Oil,KOSPI,에너지,01_에너지,석유와가스,PG sector_map(wi26),1,01_에너지
078930,GS,KOSPI,에너지,01_에너지,석유와가스,PG sector_map(wi26),1,01_에너지
009830,한화솔루션,KOSPI,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),1,01_에너지
336260,두산퓨얼셀,KOSPI,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),,01_에너지
112610,씨에스윈드,KOSPI,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),1,01_에너지
083650,비에이치아이,KOSDAQ,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),,01_에너지
475150,SK이터닉스,KOSPI,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),,01_에너지
322000,HD현대에너지솔루션,KOSPI,에너지,01_에너지,에너지장비및서비스,PG sector_map(wi26),,01_에너지
051910,LG화학,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
003670,포스코퓨처엠,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
086520,에코프로,KOSDAQ,화학,02_화학,화학,PG sector_map(wi26),,02_화학
010060,OCI홀딩스,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
011790,SKC,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
011780,금호석유화학,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
011170,롯데케미칼,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
014680,한솔케미칼,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
457190,이수스페셜티케미컬,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
120110,코오롱인더,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
093370,후성,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
005070,코스모신소재,KOSPI,화학,02_화학,화학,PG sector_map(wi26),,02_화학
004000,롯데정밀화학,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,02_화학
000210,DL,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
003240,태광산업,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
285130,SK케미칼,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
298050,HS효성첨단소재,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
456040,OCI,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
069260,TKG휴켐스,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
268280,미원에스씨,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
002840,미원상사,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
006650,대한유화,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
005420,코스모화학,KOSPI,화학,02_화학,화학,PG sector_map(wi26),1,
010130,고려아연,KOSPI,"비철,목재등",03_비철목재등,비철금속,PG sector_map(wi26),1,03_비철목재등
103140,풍산,KOSPI,"비철,목재등",03_비철목재등,비철금속,PG sector_map(wi26),1,03_비철목재등
014820,동원시스템즈,KOSPI,"비철,목재등",03_비철목재등,포장재,PG sector_map(wi26),1,
008730,율촌화학,KOSPI,"비철,목재등",03_비철목재등,포장재,PG sector_map(wi26),1,
005490,POSCO홀딩스,KOSPI,철강,04_철강,철강,PG sector_map(wi26),1,04_철강
004020,현대제철,KOSPI,철강,04_철강,철강,PG sector_map(wi26),1,04_철강
001430,세아베스틸지주,KOSPI,철강,04_철강,철강,PG sector_map(wi26),1,04_철강
003030,세아제강지주,KOSPI,철강,04_철강,철강,PG sector_map(wi26),1,
000720,현대건설,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),1,05_건설건축관련
028050,삼성E&A,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),1,05_건설건축관련
047040,대우건설,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),1,05_건설건축관련
002380,KCC,KOSPI,"건설,건축관련",05_건설건축관련,건축자재,PG sector_map(wi26),1,05_건설건축관련
006360,GS건설,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),,05_건설건축관련
375500,DL이앤씨,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),1,05_건설건축관련
060370,LS마린솔루션,KOSDAQ,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),,05_건설건축관련
097230,HJ중공업,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),,05_건설건축관련
294870,IPARK현대산업개발,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),,05_건설건축관련
012630,HDC,KOSPI,"건설,건축관련",05_건설건축관련,건설,PG sector_map(wi26),,05_건설건축관련
300720,한일시멘트,KOSPI,"건설,건축관련",05_건설건축관련,건축자재,PG sector_map(wi26),1,
009240,한샘,KOSPI,"건설,건축관련",05_건설건축관련,가구,PG sector_map(wi26),1,
002030,아세아,KOSPI,"건설,건축관련",05_건설건축관련,건축자재,PG sector_map(wi26),1,
034020,두산에너빌리티,KOSPI,기계,06_기계,기계,PG sector_map(wi26),1,06_기계
010120,LS ELECTRIC,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
298040,효성중공업,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
267260,HD현대일렉트릭,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
006260,LS,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
277810,레인보우로보틱스,KOSDAQ,기계,06_기계,기계,PG sector_map(wi26),,06_기계
267270,HD건설기계,KOSPI,기계,06_기계,기계,PG sector_map(wi26),1,06_기계
062040,산일전기,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),1,06_기계
000500,가온전선,KOSPI,기계,06_기계,전기장비,PG sector_map(wi26),,06_기계
