순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
1,삼성전자,005930,KOSPI,반도체와반도체장비,22_반도체,239500,14001837,36.49,5.01,3.74,47821,109367,7724,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
2,SK하이닉스,000660,KOSPI,반도체와반도체장비,22_반도체,1425000,10409516,24.17,4.08,8.3,349595,518268,9279,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
3,삼성전자우,005935,KOSPI,반도체와반도체장비,22_반도체,180200,1445873,36.49,5.01,3.74,47821,109367,7724,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
4,SK스퀘어,402340,KOSPI,반도체와반도체장비,22_반도체,945000,1247007,14.22,3.19,4.51,296272,444143,1989,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
5,삼성전기,009150,KOSPI,전자장비와기기,21_IT하드웨어,1262000,942634,138.69,63.93,9.99,19742,146105,2690,26.3,518622,-58.9,
6,LG에너지솔루션,373220,KOSPI,전기제품,06_기계,354500,829530,,,4.1,-1643,88423,,40.2,,,2026E EPS 없음·적자
7,현대차,005380,KOSPI,자동차,10_자동차,403000,825174,11.41,10.6,0.92,38028,471042,10670,10.6,403097,0.0,
8,삼성바이오로직스,207940,KOSPI,제약,16_건강관리,1609000,744821,60.55,39.71,9.99,40521,225581,,25.1,1015051,-36.9,
9,KB금융,105560,KOSPI,은행,17_은행,166600,590910,11.02,9.06,1.01,18392,177942,4862,8.0,146216,-12.2,
10,삼성생명,032830,KOSPI,생명보험,19_보험,289500,579000,25.14,19.89,0.83,14558,635620,6849,13.8,200900,-30.6,
11,한화에어로스페이스,012450,KOSPI,우주항공과국방,06_기계,1098000,566166,38.43,24.53,5.83,44765,230084,8335,40.2,1800896,64.0,
12,삼성물산,028260,KOSPI,복합기업,08_상사자본재,344500,558667,24.32,20.84,1.13,16532,364492,4477,13.5,223347,-35.2,
13,HD현대중공업,329180,KOSPI,조선,07_조선,503000,527955,32.03,16.4,5.65,30679,110451,10199,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
14,기아,000270,KOSPI,자동차,10_자동차,134300,524325,7.03,6.14,0.85,21865,173352,6862,10.6,231769,72.6,
15,두산에너빌리티,034020,KOSPI,기계,06_기계,77900,498997,588.7,158.12,6.41,493,12930,,40.2,,,선행PER이 업종 중앙 대비 3.9배 — 배수 접근 부적합
16,신한지주,055550,KOSPI,은행,17_은행,104500,490575,10.36,8.4,0.86,12446,130049,3050,8.0,98946,-5.3,
17,셀트리온,068270,KOSPI,제약,16_건강관리,210500,489526,49.67,31.3,2.81,6726,81295,732,25.1,168486,-20.0,
18,현대모비스,012330,KOSPI,자동차부품,10_자동차,495500,449580,12.49,10.85,0.9,45680,607307,7091,10.6,484208,-2.3,
19,SK,034730,KOSPI,석유와가스,01_에너지,524000,379914,23.97,4.2,1.15,124798,611567,8618,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
20,삼성SDI,006400,KOSPI,전기제품,06_기계,459500,370291,,55.74,1.69,8244,291848,,40.2,331656,-27.8,
21,하나금융지주,086790,KOSPI,은행,17_은행,127700,350368,9.05,7.95,0.77,16056,178122,4649,8.0,127645,-0.0,
22,NAVER,035420,KOSPI,양방향미디어와서비스,20_소프트웨어,214000,335932,17.29,17.1,1.16,12511,198405,2510,15.3,191794,-10.4,
23,LS ELECTRIC,010120,KOSPI,전기장비,06_기계,203000,304500,106.24,56.26,14.58,3608,16639,1045,40.2,145150,-28.5,
24,LG전자,066570,KOSPI,전자제품,23_IT가전,181700,295961,34.15,14.39,1.37,12631,148343,1448,14.4,181760,0.0,
25,삼성화재,000810,KOSPI,손해보험,19_보험,641000,286190,15.75,13.8,1.28,46458,630365,22980,13.8,641120,0.0,
26,HD한국조선해양,009540,KOSPI,조선,07_조선,398000,281677,12.99,7.34,2.12,54223,217388,18161,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
27,한화오션,042660,KOSPI,조선,07_조선,89000,272708,21.89,13.85,4.42,6425,26902,,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
28,HD현대일렉트릭,267260,KOSPI,전기장비,06_기계,739000,266388,36.36,27.83,13.11,26555,74771,9144,40.2,1068308,44.6,
29,효성중공업,298040,KOSPI,전기장비,06_기계,2831000,263978,50.78,34.21,11.21,82756,327680,10157,40.2,3329274,17.6,
30,POSCO홀딩스,005490,KOSPI,철강,04_철강,326500,258724,40.38,13.86,0.44,23552,758484,10059,14.9,,,사이클 — 정점 EPS에 정상 배수 적용 불가
31,고려아연,010130,KOSPI,비철금속,03_비철목재등,1229000,256529,31.91,20.31,2.29,60524,596372,24167,14.1,,,사이클 — 정점 EPS에 정상 배수 적용 불가
32,우리금융지주,316140,KOSPI,은행,17_은행,33800,246094,8.01,7.68,0.69,4400,53408,1511,8.0,34980,3.5,
33,한국전력,015760,KOSPI,전기유틸리티,26_유틸리티,35200,225971,2.64,3.91,0.47,9011,82617,1125,4.8,43163,22.6,
34,SK이노베이션,096770,KOSPI,석유와가스,01_에너지,124100,209795,,7.84,0.96,15839,149969,,10.2,,,사이클 — 정점 EPS에 정상 배수 적용 불가
35,메리츠금융지주,138040,KOSPI,증권,18_증권,123800,207176,9.75,8.69,2.02,14254,67145,1700,5.9,84597,-31.7,
36,HMM,011200,KOSPI,해운사,09_운송,21650,204211,11.08,12.05,0.77,1796,29612,621,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
37,한미반도체,042700,KOSPI,반도체와반도체장비,22_반도체,213000,203015,95.39,58.73,29.27,3627,9859,720,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
38,미래에셋증권,006800,KOSPI,증권,18_증권,35500,198646,16.48,7.51,1.56,4726,29310,644,5.9,28049,-21.0,
39,LG화학,051910,KOSPI,화학,02_화학,274000,193423,,,0.65,-4332,417435,2000,23.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
40,삼성중공업,010140,KOSPI,조선,07_조선,21800,191840,35.17,20.41,4.49,1068,6001,,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
41,두산,000150,KOSPI,복합기업,08_상사자본재,1177000,190601,331.93,51.88,13.47,22687,128502,4409,13.5,,,선행PER이 업종 중앙 대비 3.8배 — 배수 접근 부적합
42,KT&G,033780,KOSPI,담배,15_필수소비재,179900,186755,20.05,14.34,2.01,12547,93052,7161,9.5,118946,-33.9,
43,SK텔레콤,017670,KOSPI,무선통신서비스,25_통신서비스,86000,184719,45.23,13.77,1.42,6246,65030,3270,9.3,57963,-32.6,
44,삼성에스디에스,018260,KOSPI,IT서비스,20_소프트웨어,237000,183385,24.14,26.14,1.85,9066,135509,3261,15.3,138982,-41.4,
45,카카오,035720,KOSPI,양방향미디어와서비스,20_소프트웨어,40700,180293,36.66,30.69,1.59,1326,26681,76,15.3,20328,-50.1,
46,HD현대,267250,KOSPI,조선,07_조선,224500,177339,18.42,5.18,1.57,43327,170438,5267,13.8,,,사이클 — 정점 EPS에 정상 배수 적용 불가
