code,name,price,mktcap_억
005930,삼성전자,257000,15024936
000660,SK하이닉스,1653000,12075039
402340,SK스퀘어,1028000,1356179
009150,삼성전기,1421000,1061397
373220,LG에너지솔루션,370000,865800
005380,현대차,399500,818007
207940,삼성바이오로직스,1486000,687884
032830,삼성생명,310000,620000
105560,KB금융,171600,608644
028260,삼성물산,375000,608128
012450,한화에어로스페이스,1157000,596589
034020,두산에너빌리티,88200,564975
055550,신한지주,109700,514987
000270,기아,128000,499729
329180,HD현대중공업,457000,479673
006400,삼성SDI,571000,460143
068270,셀트리온,190700,443601
012330,현대모비스,450500,404642
034730,SK,543000,393690
086790,하나금융지주,136000,373140
035420,NAVER,220500,335329
066570,LG전자,201500,328213
010120,LS ELECTRIC,214500,321750
000810,삼성화재,687000,306728
298040,효성중공업,3153000,294003
267260,HD현대일렉트릭,814000,293424
010130,고려아연,1375000,287003
042660,한화오션,88500,271176
005490,POSCO홀딩스,337500,267440
009540,HD한국조선해양,354500,250891
316140,우리금융지주,33900,246822
017670,SK텔레콤,98600,211783
042700,한미반도체,219500,209210
015760,한국전력,32550,208959
011200,HMM,21700,204683
138040,메리츠금융지주,122000,204164
000150,두산,1238000,200480
096770,SK이노베이션,116900,197623
006800,미래에셋증권,36150,196302
051910,LG화학,277000,195541
018260,삼성에스디에스,243000,188028
010140,삼성중공업,21200,186560
033780,KT&G,176300,183018
003550,LG,116300,175836
278470,에이피알,461500,172777
267250,HD현대,218000,172205
010950,S-Oil,149200,167974
024110,기업은행,20850,166263
003670,포스코퓨처엠,186300,165707
035720,카카오,36850,163239
079550,LIG디펜스앤에어로스페이스,734000,161480
086280,현대글로비스,205000,153750
064350,현대로템,139100,151817
011070,LG이노텍,611000,144606
000720,현대건설,128900,143538
272210,한화시스템,75800,143201
030200,KT,54500,137352
047810,한국항공우주,133100,129739
005830,DB손해보험,187400,122748
078930,GS,129200,120021
003230,삼양식품,1547000,116536
307950,현대오토에버,416000,114084
071050,한국금융지주,191300,106604
003490,대한항공,28700,105679
323410,카카오뱅크,21850,104251
259960,크래프톤,222500,101789
443060,HD현대마린솔루션,221000,99082
005940,NH투자증권,26650,98393
006260,LS,313000,97656
028050,삼성E&A,48750,95550
0126Z0,삼성에피스홀딩스,373500,92938
047050,포스코인터내셔널,52700,92711
090430,아모레퍼시픽,150600,88090
180640,한진칼,131300,87659
007660,이수페타시스,112800,82806
161390,한국타이어앤테크놀로지,66400,82253
047040,대우건설,19690,80908
016360,삼성증권,88500,79030
352820,하이브,180000,77592
009830,한화솔루션,33750,75901
064400,LG씨엔에스,75800,73440
039490,키움증권,278500,73046
000880,한화,134900,71941
021240,코웨이,100400,71050
326030,SK바이오팜,88000,68916
267270,HD건설기계,136600,65461
128940,한미약품,509000,65208
377300,카카오페이,47350,64052
032640,LG유플러스,15020,63749
000100,유한양행,84900,62500
062040,산일전기,202500,62052
241560,두산밥캣,63100,60485
001440,대한전선,29700,58210
066970,엘앤에프,134800,54843
029780,삼성카드,47300,54801
175330,JB금융지주,29050,54185
088350,한화생명,5950,51678
010060,OCI홀딩스,274500,51250
271560,오리온,129500,51190
036570,NC,225000,48474
034220,LG디스플레이,9620,48100
051900,LG생활건강,318000,47622
138930,BNK금융지주,15120,46921
052690,한전기술,122400,46781
454910,두산로보틱스,71600,46411
011790,SKC,91300,45283
001450,현대해상,52400,44670
